alias_name,target_name,status,confidence,source,note
"А. Крылова","Крылова Анастасия Сергеевна",accepted,high,manual-identity-audit,"Single-initial programme form; exact surname and first initial match the existing full profile."
"Л. Бурмистров","Бурмистров Сергей Леонидович",accepted,manual,manual-identity-audit,"Programme form uses the patronymic initial only; merge is curated, not automatic."
"В. Кулланда","Кулланда Сергей Всеволодович",accepted,manual,manual-identity-audit,"Programme form uses the patronymic initial only; merge is curated, not automatic."
"О. В. Вечерина","Вечерина Ольга Павловна",accepted,manual,manual-identity-audit,"Programme initial is a typo; merge into the verified О. П. Вечерина profile."
"Х. Шомахмадов","Шомахмадов Сафарали Хайбуллоевич",accepted,manual,manual-initial-merge,"Single-initial programme form matches the patronymic initial; merge into the existing full profile."
"А. Бабин","Бабин Александр Николаевич",accepted,high,manual-initial-merge,"Single-initial programme form; surname and first initial match the existing full profile."
"А. Ковалевская","Кавалевская Анна Петровна",accepted,manual,manual-initial-merge,"Single-initial programme form; merge into the existing full profile despite the Ковалевская/Кавалевская source spelling variant."
"И. Рыжакова","Рыжакова Светлана Игоревна",accepted,manual,manual-initial-merge,"Single-initial programme form matches the patronymic initial; merge into the existing full profile."
"И. Урнова","И. А. Урнова",accepted,manual,manual-initial-merge,"Single-initial programme form; merge into the more specific two-initial card because no full profile is present."
"К. Маретина","Маретина Ксения Александровна",accepted,high,manual-initial-merge,"Single-initial programme form; surname and first initial match the existing full profile."
"М. Демченко","Демченко Максим Борисович",accepted,high,manual-initial-merge,"Single-initial programme form; surname and first initial match the existing full profile."
"М. Павлова","Павлова Мария Борисовна",accepted,high,manual-initial-merge,"Single-initial programme form; surname and first initial match the existing full profile."
"Н. Краснодембская","Краснодембская Нина Георгиевна",accepted,high,manual-initial-merge,"Single-initial programme form; surname and first initial match the existing full profile."
"П. Лужинская","Лужинская Полина Александровна",accepted,high,manual-initial-merge,"Single-initial programme form; surname and first initial match the existing full profile."
"В. Коробов","Коробов Владимир Борисович",accepted,high,manual-initial-merge,"Single-initial programme form; surname and first initial match the existing full profile."
"Г. Стукалин","Стукалин Глеб Дмитриевич",accepted,high,manual-initial-merge,"Single-initial programme form; surname and first initial match the existing full profile."
