discipline_code,label_ru,label_en,parent_code,status,note
indology,Индология,Indology,,core,"Зонтичная дисциплина (решение R5 роадмапа). Родитель всех остальных кодов; напрямую персонам не присваивается."
sanskritology,Санскритология,Sanskritology,indology,core,"Фасет внутри индологии, а не отдельная база (R5). Ведийские штудии, санскритская грамматика, санскритские тексты и эпос."
dravidology,Тамилология и дравидология,Dravidology,indology,core,"Южноиндийский контур. Дубянский трактует дравидологию как раздел индологии; симметрия с санскритологией."
buddhology,Буддология,Buddhology,indology,core,"Буддийские традиции, пали и ранний буддизм."
tibetology,Тибетология,Tibetology,indology,core,"Тибетский и гималайский контур."
new_indo_aryan,Новоиндийские языки,New Indo-Aryan languages,indology,core,"Хинди, урду, бенгальский и другие новые индоарийские языки."
history_archaeology,История и археология Индии,History and archaeology of India,indology,core,"Политическая, социальная и материальная история; эпиграфика; колониальные контакты."
philosophy,Философия,Philosophy,indology,core,"Индийская философия, эпистемология, онтология, сотериология."
religious_studies,Религиоведение,Religious studies,indology,core,"Ритуал, бхакти, джайнизм, сикхизм, зороастризм парсов, йога и аюрведа как религиозные практики."
art_studies,Искусствоведение,Art history,indology,core,"Визуальная и материальная культура, архитектура, музейные собрания."
literature,Литературоведение,Literary studies,indology,core,"Ратифицирован решением D1 (10-07-2026). Не входил в стартовый набор роадмапа; добавлен потому, что 47 докладов несут meso-код literary_studies."
linguistics,Лингвистика и филология,Linguistics and philology,indology,core,"Ратифицирован решением D1 (10-07-2026). Не входил в стартовый набор роадмапа. Этимология, историческая фонетика."
ethnography,Этнография и антропология,Ethnography and anthropology,indology,core,"Ратифицирован решением D1 (10-07-2026). Не входил в стартовый набор роадмапа. Полевые исследования, ритуальный перформанс, современное общество."
history_of_indology,История индологии,History of Indology,indology,core,"Ратифицирован решением D1 (10-07-2026). Не входил в стартовый набор роадмапа. Отличается от history_archaeology: история самой дисциплины (экспедиции, рериховедение, биографика), а не история Индии."
unattested,Дисциплина не установлена,Not attested in the corpus,,sentinel,"Служебный код, НЕ дисциплина и НЕ потомок indology. Присваивается, когда в архиве нет ни одного научного доклада персоны (например, только институциональные приветствия). Означает «не установлено», а не «вне индологии» — та же логика, что у пустого death_year (риск P3). confidence всегда 0.0."
