axis,code,label,covers,pattern,confidence,rule_id,source_url,notes
state,I,Vedic,"Saṃhitā, Brāhmaṇa, Upaniṣad, Sūtra, Vedāṅga",\b(vedic|veda|vedā|rigveda|rgveda|ṛgveda|atharvaveda|yajurveda|samaveda|samhita|saṃhitā|brahmana|brāhmaṇa|aranyaka|āraṇyaka|upanishad|upaniṣad|upanisad|vedanga|vedāṅga|srauta|shrauta|śrauta|grhya|gṛhya|pravargya)\b|вед(ийск|ическ|а|ы|ы)|ригвед|атхарвавед|яджурвед|самавед|упанишад|брахман|араньяк|шраут|грихь|праварг,title_tag_pattern,state_I,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
state,II,Pāṇinian,the classical norm and grammarians' Sanskrit,\b(panini|pāṇini|patanjali|patañjali|ashtadhyayi|aṣṭādhyāyī|vyakarana|vyākaraṇa|grammar|grammatical|grammarian|mahābhāṣya|mahabhasya|kāśikā|kasika|nirukta)\b|панини|пāṇini|патанджал|аш[тṭ]адхьяй|аштападх|вьякаран|vyākaraṇa|грамматик|нир?укт,title_tag_pattern,state_II,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",\b(mahabharata|mahābhārata|mbh|ramayana|rāmāyaṇa|harivamsa|harivaṃśa|gita|gītā|bhagavadgita|bhagavadgītā|purana|purāṇa|smriti|smṛti|tantra|dharmasastra|dharmaśāstra)\b|махабхарат|рамаян|хариванш|гит[аеы]|бхагавадгит|пуран|смрит|тантр|дхармашастр|дхарма-шастр,title_tag_pattern,state_III,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
state,IV,Classical,"kāvya, drama, kathā, classical śāstra, kośa, later grammar",\b(kavya|kāvya|drama|natya|nāṭya|katha|kathā|shastra|śāstra|sastra|sāstra|kosha|kośa|classical sanskrit|kalidasa|kālidāsa|bhasa|bhāsa|dandin|daṇḍin|campu|campū|poetry|poetic)\b|кавь|kāvya|драм|натья|натъя|катх|шастр|классическ(ий|ого|ая)? санскрит|калидас|бхас|данди|поэз|стих,title_tag_pattern,state_IV,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
state,V,Buddhist / Jaina,Buddhist Hybrid and Jaina Sanskrit,\b(buddh|bauddha|bhs|buddhist hybrid|jain|jaina|jainism|pali|pāli|prakrit|prākrit|abhidharma|bodhisattva|mahāyāna|mahayana|theravada|vajrayana|vajrayāna|tripitaka|tipitaka)\b|будд|баудд|джайн|jaina|палий|пали\b|пракрит|абхидхарм|бодхисаттв|махаян|тхеравад|ваджраян|трипитак,title_tag_pattern,state_V,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,rgveda,Ṛgveda,Ṛgveda,\b(rigveda|rgveda|r\u0325gveda|ṛgveda|rv\b)\b|ригвед,title_tag_pattern,register_rgveda,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,atharva,Atharvaveda,Atharvaveda,\b(atharva|atharvaveda|av\b)\b|атхарвав,title_tag_pattern,register_atharva,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,yajus,Yajurveda,Yajurveda,\b(yajurveda|yajus|yajur)\b|яджурвед,title_tag_pattern,register_yajus,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,brahmana,Brāhmaṇa,Brāhmaṇa,\b(brahmana|brāhmaṇa|satapatha|śatapatha|shatapatha|aitareya|taittiriya|taittirīya)\b|брахман|ш?атапатх|айтре|тайттир,title_tag_pattern,register_brahmana,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,upanisad,Upaniṣad,Upaniṣad,\b(upanishad|upaniṣad|upanisad|brhadaranyaka|bṛhadāraṇyaka|chandogya|chāndogya|katha up|kaṭha up)\b|упанишад|брихадараньяк|чхандог,title_tag_pattern,register_upanisad,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,sutra,Sūtra,Sūtra,\b(sutra|sūtra|kalpasutra|kalpasūtra|grhya|gṛhya|srauta|śrauta|shrauta)\b|сутр|кальпасутр|грихь|шраут,title_tag_pattern,register_sutra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,vyakarana,Vyākaraṇa,Vyākaraṇa,\b(vyakarana|vyākaraṇa|panini|pāṇini|ashtadhyayi|aṣṭādhyāyī|patanjali|patañjali|grammar|grammatical)\b|вьякаран|панини|патанджал|грамматик,title_tag_pattern,register_vyakarana,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,epic,Epic,Epic,\b(mahabharata|mahābhārata|mbh|ramayana|rāmāyaṇa|harivamsa|harivaṃśa|epic)\b|махабхарат|рамаян|эпос|эпическ|хариванш,title_tag_pattern,register_epic,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,purana,Purāṇa,Purāṇa,\b(purana|purāṇa|bhagavata|bhāgavata|devibhagavata|devībhāgavata|vishnu purana|viṣṇu purāṇa)\b|пуран|бхагават,title_tag_pattern,register_purana,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,tantra,Tantra,Tantra,\b(tantra|tantric|tantrism|tantrik|tantrika|kularnava|kulārṇava)\b|тантр,title_tag_pattern,register_tantra,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,smrti,Smṛti,Smṛti,\b(smriti|smṛti|manu|yajnavalkya|yājñavalkya|dharmasastra|dharmaśāstra)\b|смрит|ману|яджнявалк|дхармашастр,title_tag_pattern,register_smrti,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,karika,Kārikā,Kārikā,\b(karika|kārikā|karikas|kārikās)\b|карик,title_tag_pattern,register_karika,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,bhasya,Bhāṣya,Bhāṣya,\b(bhasya|bhāṣya|commentary|commentarial|commentator|sāyaṇa|sayana|śaṅkara|shankara|tikā|ṭīkā|tika|vrtti|vṛtti)\b|бхашь|коммент|шанкар|саян|тика|вритт,title_tag_pattern,register_bhasya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,katha,Kathā,Kathā,\b(katha|kathā|story|stories|narrative|tale|tales)\b|катх|повеств|рассказ|сюжет,title_tag_pattern,register_katha,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,natya,Nāṭya,Nāṭya,\b(natya|nāṭya|drama|dramatic|theatre|theater|play|plays|natyasastra|nāṭyaśāstra)\b|натья|драм|театр|пьес,title_tag_pattern,register_natya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,kavya,Kāvya,Kāvya,\b(kavya|kāvya|poetry|poetic|poem|verse|kalidasa|kālidāsa|campu|campū)\b|кавь|поэз|поэм|стих|калидас|чампу,title_tag_pattern,register_kavya,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,bauddha,Bauddha,Bauddha,\b(buddh|bauddha|bhs|buddhist hybrid|abhidharma|bodhisattva|mahāyāna|mahayana|vajrayana|vajrayāna|theravada)\b|будд|баудд|абхидхарм|бодхисаттв|махаян|ваджраян,title_tag_pattern,register_bauddha,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,jaina,Jaina,Jaina,\b(jain|jaina|jainism|jaina sanskrit|kalpasutra|kalpasūtra)\b|джайн,title_tag_pattern,register_jaina,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,epig,Epigraphic,Epigraphic,\b(epigraph|epigraphy|inscription|inscriptions|copper[- ]plate|donative|prasasti|praśasti)\b|эпиграф|надпис|прашаст,title_tag_pattern,register_epig,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
register,hors_inde,Outside India,Outside India,\b(khotan|khotanese|sogdian|tocharian|central asian sanskrit|outside india|hors inde)\b|хотан|согд|тохар|центральноазиатск,title_tag_pattern,register_hors_inde,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md,Main-site conference-title adaptation of Renou state/register matching.
