label_id,label,definition,inclusion,exclusion,examples,parent_label_id,status,version
grammar_linguistics,Grammar and linguistics,"Sanskrit grammar, phonology, and linguistic-theoretical work.","Panini/Patanjali studies; historical linguistics; sandhi/morphology.",Literary analysis of poetic diction alone.,talk on Paninian sutra classification,,active,1.0.0
texts_philology,Texts and philology,"Text-critical, editorial, and philological work on primary sources.",Critical editions; manuscript-based readings; textual variants.,Pure literary appreciation without textual apparatus.,stemma of a Upanisad manuscript tradition,,active,1.0.0
literature_poetics,Literature and poetics,Literary-critical and poetic-theoretical work.,Kavya studies; narrative analysis; alamkarasastra.,Philological edition work (see texts_philology).,analysis of Kalidasa's imagery,,active,1.0.0
religion_philosophy,Religion and philosophy,"Darsana, religious practice, and doctrinal study.",Vedanta; Buddhist/Jaina philosophy; ritual studies.,History-of-institutions framing (see institutions_field_history).,comparative Advaita/Buddhist epistemology,,active,1.0.0
history_culture,History and culture,"Social, political, and cultural history of Sanskritic milieus.",Court culture; historical sociology; cultural contact.,Institutional/field history of Indology itself.,Sanskrit court culture under a named dynasty,,active,1.0.0
manuscripts_epigraphy_material,"Manuscripts, epigraphy, and material culture","Codicology, epigraphy, and material-culture evidence.",Inscriptions; palm-leaf codicology; art-historical objects with text.,Purely digital corpus-building tools (see digital_computational).,copper-plate donative inscription reading,,active,1.0.0
digital_computational,Digital and computational work,"Corpus, tool, and computational-methods work.",DCS-style corpora; NLP pipelines; digital editions infrastructure.,Manuscript description without a computational component.,a Sanskrit dependency treebank tool,,active,1.0.0
teaching_learning,Teaching and learning resources,Pedagogical material and language-teaching practice.,Textbooks; curricula; classroom method.,Research talks that merely happen to be given by teachers.,a beginner Sanskrit textbook review,,active,1.0.0
institutions_field_history,Institutions and field history,History of the field of Indology/Sanskrit studies itself.,Biography of scholars; institutional history; historiography of the discipline.,Doctrinal history of the texts studied (see religion_philosophy).,a history of a named Indological society,,active,1.0.0
other,Other,A recognizable scholarly topic not covered by the above axes.,Any coherent topic outside the other labels.,Anything that instead fits an existing label.,,,active,1.0.0
unknown,Unknown,Insufficient evidence to assign a topic.,Missing or unreadable subject/body evidence.,Any record where a topic could be determined.,,,active,1.0.0
