presentation_id,title,video_title,level_title_only,level_video_context,match
PRES_6a8a61bed8,Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили,Демченко Максим Борисович Москва  Према Рамаяна и Шри Ситарама чаритра дарпана как примеры Рамаян XX,2,2,True
PRES_cb85e06342,В чем непосредственность непосредственного восприятия в буддийской эпистемологии?,Малютин И.И. (СПб) Четыре вида непосредственного восприятия в «Капле логики» Дхармакирти.,1,1,True
PRES_19f7899ef1,«Давай поженимся»: Свадебные ритуалы в неварском буддизме*,Рыбакова Анна Геннадьевна (Москва). Ритуалы божественной старости в неварском буддизме.,1,1,True
PRES_48f4e3c3a8,Дискурсивные слова в языке хинди,Костина Екатерина Александровна (Санкт-Петербург). Дискурсивные слова в языке хинди,1,1,True
PRES_f1d137e03c,Особенности толкования Нового Завета в учении Свами Вивекананды,Жукова Л. Е. (Мск) Телеологический аргумент в пользу существования Бога в учении Свами Вивекананды.,1,2,False
PRES_ea35d438ad,Еще раз о структуре Чарьягити,Е.К. Бросалина (Санкт-Петербург). Структура «Чарья-гити».,1,1,True
PRES_5c43b881ec,Фоносемантическая структура ведийского текста (на  примере гимна Ригведы I.7),Волошина Оксана Анатольевна (Москва). Фоносемантическая структура ведийского текста,1,1,True
PRES_a23657cfb0,"Начальный сюжет в житийной литературе раннего буддизма, его вариативность и смысловое наполнение","Александрова Наталия Владимировна Москва  Начальный сюжет в житийной литературе раннего буддизма, ег",1,1,True
PRES_a5949e68cd,Санскритские наречия в трудах бенгальских грамматистов (Дживы Госвамина и Баларамы Панчананы),Блиндерман Радха Тимуровна (Кембридж). Санскритские наречия в трудах бенгальских грамматистов,1,1,True
PRES_0db520ec9e,Интерпретация кровавых событий раздела Индии и Пакистана в романе Кхушванта Сингха «Поезд в Пакистан»,Лемешкина К. В. (Санкт-Петербург). Интерпретация кровавых событий раздела Индии и Пакистана,2,1,False
PRES_acc235e74f,Понятие религиозного инклюзивизма,Лапшин Иван Евгеньевич (Москва). Понятие религиозного инклюзивизма у П. Хакера,1,1,True
PRES_e84196d92a,К интерпретации Ригведы: śiśnadevāḥ,Вигасин Алексей Алексеевич Москва  К интерпретации Ригведы  śiśnadevāḥ онлайн,1,1,True
PRES_8278d320e8,Интерпретация идей Упанишад в,"XLIV Зографские чтения, 24.05.2023, Скороходова Татьяна Григорьевна (Пенза)",1,1,True
PRES_099b0c05a1,Рамаитская поэзия,"XLIV Зографские чтения, 23.05.2023, Демченко  Максим  Борисович  (Москва).",1,1,True
PRES_11ddedf184,Абхидхарма как когнитивная стратегия,"Коробов Владимир Борисович (Вильнюс, Литва) Абхидхарма как когнитивная стратегия",2,2,True
PRES_da95cc9832,Новые древнеиндийские праформы на материале этимологий лексики языка куллуи,Крылова А.С. (Москва) Новые индоарийские этимологии лексики языка куллуи.,1,1,True
PRES_453e49a456,Об особенностях традиционной пищи веддов,Зимина Татьяна Александровна (Санкт-Петербург). Об особенностях традиционной пищи веддов,1,1,True
PRES_8433ffdf15,Опровержение позиции вайшешики Дигнагой,Лысенко Виктория Георгиевна Москва  Опровержение позиции вайшешики Дигнагой  онлайн,1,1,True
PRES_0816ac8f85,История Ситы и Рамы глазами современных индийских поэтов-мистиков и ее релевантность для современного индийского общества,Демченко М. Б. История Ситы и Рамы глазами современных индийских поэтов-мистиков,2,2,True
PRES_629286d70c,М. К. Ганди — неортодоксальный „ортодокс“,Битинайте Елена Алексеевна (Краснодар). М.К. Ганди — неортодоксальный „ортодокс“.,1,1,True
PRES_fc83b6c79d,Возвращаясь к третьей книге Махабхараты: новый взгляд,Васильков Ярослав Владимирович СПб   Фронт Ройал  Возвращаясь к третьей книге Махабхараты  новый взг,1,2,False
PRES_c21cf157cd,О сравнениях в индийской философской литературе,Парибок Андрей Всеволодович (Санкт-Петербург). О сравнениях в индийской философской литературе,1,1,True
PRES_f14032ea97,К вопросу об определении понятия apratiṣṭhita-nirvāṇa,Бурмистров Сергей Леонидович (Санкт-Петербург) К вопросу об определении понятия apratiṣṭhita-nirvāṇa,1,1,True
PRES_8b02872508,Тханки в собрании И. П. Минаева (МАЭ РАН),Бабин Александр Николаевич (Москва). Тханки в собрании И. П. Минаева (МАЭ РАН),1,1,True
PRES_19102e1ae3,", М. Рамдхари (Маврикий). Индийские языки и нарративы на Маврикии: Рама-катха и поэзия на бходжпури","М. Б. Демченко (Москва), М. Рамдхари (Маврикий). Индийские языки и нарративы на Маврикии",2,2,True
PRES_ea35d438ad,Еще раз о структуре Чарьягити,Лекарева Ева Павловна СПб   Еще раз о структуре Чарьягити,1,1,True
PRES_4ed8d23e80,Синтез глагольной словоформы в грамматике Панини,Волошина Оксана Анатольевна Москва  Синтез глагольной словоформы в грамматике Панини онлайн,1,1,True
PRES_c3dcf66fa9,Учение санкхьи в «Брихадараньяка-упанишаде»,Десницкая Евгения Алексеевна СПб  Учение санкхьи в «Брихадараньяка упанишаде»,1,2,False
PRES_b8c7056b10,Пещера дивов в сказке на языке парья,Оранская Татьяна Иосифовна СПб  Пещера дивов в сказке на языке парья,1,1,True
PRES_5eff45b043,О семантических переходах с участием терминов родства в старотамильском языке,Смирнитская Анна Александровна Москва О семантических переходах с участием терминов родства в старот,1,1,True
PRES_5eff45b043,О семантических переходах с участием терминов родства в старотамильском языке,Смирнитская Анна Александровна Москва О семантических переходах с участием терминов родства в старот,1,1,True
PRES_9a160371a2,Параллельный санскритско-русский корпус,Гасунс Марцис Юрьевич (Краснодар). Параллельный санскритско-русский корпус,1,1,True
