evidence_id,source_file,source_row,source_system,person_id,label,candidate_or_query,negative_signal,reason,review_status,reviewer,checked_at,note
NEG_00001,analytics_output/rinc_lookup_queue.csv,2,RINC/eLIBRARY,PERS_c52dfaa0,Цветкова Софья Олеговна,https://elibrary.ru/author_items.asp?authorid=&fams=Цветкова,rejected_filter,rejected_filter:low_works_count=2,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00002,analytics_output/rinc_lookup_queue.csv,3,RINC/eLIBRARY,PERS_11da326d,Тавастшерна Сергей Сергеевич,https://elibrary.ru/author_items.asp?authorid=&fams=Тавастшерна,no_match,no_match,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00003,analytics_output/rinc_lookup_queue.csv,4,RINC/eLIBRARY,PERS_f074f69f,Александрова Наталия Владимировна,https://elibrary.ru/author_items.asp?authorid=&fams=Александрова,rejected_filter,rejected_filter:low_works_count=4,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00004,analytics_output/rinc_lookup_queue.csv,5,RINC/eLIBRARY,PERS_d98da899,Рыжакова Светлана Игоревна,https://elibrary.ru/author_items.asp?authorid=&fams=Рыжакова,rejected_filter,rejected_filter:pub_year_pre_2015=2005,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00005,analytics_output/rinc_lookup_queue.csv,6,RINC/eLIBRARY,PERS_12125da9,Лысенко Виктория Георгиевна,https://elibrary.ru/author_items.asp?authorid=&fams=Лысенко,rejected_filter,rejected_filter:low_works_count=1,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00006,analytics_output/rinc_lookup_queue.csv,7,RINC/eLIBRARY,PERS_40862f5e,Корнеева Наталья Афанасьевна,https://elibrary.ru/author_items.asp?authorid=&fams=Корнеева,no_match,no_match,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00007,analytics_output/rinc_lookup_queue.csv,8,RINC/eLIBRARY,PERS_1fa7cc0c,Дубянский Александр Михайлович,https://elibrary.ru/author_items.asp?authorid=&fams=Дубянский,no_match,no_match,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00008,analytics_output/rinc_lookup_queue.csv,10,RINC/eLIBRARY,PERS_5228da95,Вертоградова Виктория Викторовна,https://elibrary.ru/author_items.asp?authorid=&fams=Вертоградова,rejected_filter,rejected_filter:low_works_count=3,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00009,analytics_output/rinc_lookup_queue.csv,11,RINC/eLIBRARY,PERS_e1dd6b3e,Лидова Наталья Ростиславовна,https://elibrary.ru/author_items.asp?authorid=&fams=Лидова,no_match,no_match,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00010,analytics_output/rinc_lookup_queue.csv,12,RINC/eLIBRARY,PERS_e31ca12d,Вечерина Ольга Павловна,https://elibrary.ru/author_items.asp?authorid=&fams=Вечерина,rejected_filter,rejected_filter:pub_year_pre_2015=2004,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00011,analytics_output/rinc_lookup_queue.csv,13,RINC/eLIBRARY,PERS_003adcfe,Псху Рузана Владимировна,https://elibrary.ru/author_items.asp?authorid=&fams=Псху,rejected_filter,rejected_filter:pub_year_pre_2015=2010,review,,,Generated lookup needs human confirmation as true negative or false rejection.
NEG_00012,analytics_output/rinc_lookup_queue.csv,14,RINC/eLIBRARY,PERS_3e105f43,Игнатьев Андрей Александрович,https://elibrary.ru/author_items.asp?authorid=&fams=Игнатьев,rejected_filter,rejected_filter:low_works_count=1,review,,,Generated lookup needs human confirmation as true negative or false rejection.
