person_id,display_name,betweenness,graph_degree,events_attended,total_participations,zograf,roerich,balance,series_attended
PERS_11da326d,Тавастшерна Сергей Сергеевич,0.047591,258,28,29,17,12,0.172,both
PERS_40862f5e,Корнеева Наталья Афанасьевна,0.040961,251,29,29,15,14,0.034,both
PERS_c52dfaa0,Цветкова Светлана Олеговна,0.037112,245,26,27,15,12,0.111,both
PERS_12125da9,Лысенко Виктория Георгиевна,0.035619,242,25,25,19,6,0.52,both
PERS_f074f69f,Александрова Наталия Владимировна,0.033102,236,27,27,12,15,-0.111,both
PERS_d98da899,Рыжакова Светлана Игоревна,0.031921,247,26,26,21,5,0.615,both
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,0.023344,210,16,16,8,8,0.0,both
PERS_829c1de5,Васильков Ярослав Владимирович,0.021619,225,20,20,19,1,0.9,both
PERS_1fa7cc0c,Дубянский Александр Михайлович,0.017385,185,20,21,10,11,-0.048,both
PERS_f2fef030,Мехакян Арег Гайкович,0.014822,166,20,20,5,15,-0.5,both
PERS_9a855a7b,Альбедиль Маргарита Федоровна,0.014667,205,19,19,19,0,1.0,zograf_only
PERS_3e105f43,Игнатьев Андрей Александрович,0.014271,199,18,18,18,0,1.0,zograf_only
PERS_41d6aa73,Воробьева Дарья Николаевна,0.01273,175,14,14,5,9,-0.286,both
PERS_1a097e52,Парибок Андрей Всеволодович,0.012353,198,17,17,17,0,1.0,zograf_only
PERS_3357f25b,Скороходова Татьяна Григорьевна,0.012037,200,18,18,18,0,1.0,zograf_only
PERS_003adcfe,Псху Рузана Владимировна,0.01188,201,18,19,19,0,1.0,zograf_only
PERS_56508328,Десницкая Евгения Алексеевна,0.011664,198,16,16,16,0,1.0,zograf_only
PERS_93e2effb,Комиссаров Дмитрий Алексеевич,0.010907,177,10,10,9,1,0.8,both
PERS_3c202afd,Крапивина Раиса Николаевна,0.009675,155,7,7,5,2,0.429,both
PERS_fb25c80f,Ермакова Татьяна Викторовна,0.008899,187,15,15,15,0,1.0,zograf_only
PERS_c48611e0,Островская Елена Петровна,0.008853,180,16,16,16,0,1.0,zograf_only
PERS_72506535,Крылова Анастасия Сергеевна,0.008144,170,11,11,8,3,0.455,both
PERS_61202bf3,Ю. М. Алиханова,0.008019,131,15,15,7,8,-0.067,both
PERS_8516d1e4,Гасунс Марцис Юрьевич,0.007966,152,8,8,6,2,0.5,both
PERS_0665f215,Шохин Владимир Кириллович,0.007959,142,5,5,3,2,0.2,both
PERS_e31ca12d,Вечерина Ольга Павловна,0.007867,162,15,15,8,7,0.067,both
PERS_c58aa839,В. Видунас,0.00747,156,15,15,15,0,1.0,zograf_only
PERS_260a598a,Пахомов Сергей Владимирович,0.007114,169,15,15,15,0,1.0,zograf_only
