id,url,date,year,excerpt,likes,reposts,comments,views
23448,https://vk.com/wall-88831040_23448,2025-02-12T08:09:09,2025,"Чтобы записаться на онлайн-курс ""Йога-сутры"" Патанджали с А.В. Парибком (начало 1-го марта) с сертификатом, пишите https://t.me/rusamskrtam",471,140,215,27064
12638,https://vk.com/wall-88831040_12638,2021-11-28T20:40:56,2021,"☢ Полный перевод Ригведы на русский язык ☢

30 лет жизни санскритолога Татьяны Яковлевны Елизаренковой отданы
переводу вед. Скан высокого качества выкладывается в рунете впервые.

Ригведа : Мандалы I-",417,337,32,10496
25187,https://vk.com/wall-88831040_25187,2026-01-25T12:00:41,2026,"🎉 ДРУЗЬЯ, У НАС ПЕРВАЯ ТЫСЯЧА! 🎉 
 
Это невероятно! Всего за несколько месяцев наш канал собрал 1000 самых замечательных и любознательных подписчиков! 💪 
 
Вы — наше главное вдохновение, и мы хотим от",374,14,13,1289
14290,https://vk.com/wall-88831040_14290,2022-05-22T14:08:32,2022,"🔥 Первый полный русский перевод ""Книги тысячи и одной ночи"" 🔥

Книга тысячи и одной ночи. 1: Ночи 1-38; Москва; Ленинград; Academia; 1929; Художественная литература; Арабская литература; Фольклор; Ска",371,524,29,16733
16758,https://vk.com/wall-88831040_16758,2022-11-26T12:00:00,2022,"📕ТРИ ВЕЛИКИХ СКАЗАНИЯ📕

Эта книга — популярное изложение трех великих индийских эпических циклов по текстам «Рамаяны», «Махабхараты» и «Бхагавата-пураны». 

О скитаниях и подвигах Рамы, о битве его со",324,72,17,3212
12847,https://vk.com/wall-88831040_12847,2021-12-25T17:00:00,2021,"🌼 О КРАСАВИЦЕ 🌼
 
Тело побелело от сандала, 
губы покраснели от бетèля, 
 
И омыты чистою водою 
очи, что блестят как у газели, 
 
И цветы, украсившие косы, 
волосам дарят благоуханье, 
 
И прикрыто т",296,42,3,10679
19165,https://vk.com/wall-88831040_19165,2023-07-16T09:52:29,2023,"Вертоградова, В.В. Живопись древней Индии по Читрасутре из Вишнудхармоттарапураны - теория и технология / В.В. Вертоградова; РАН, Ин-т востоковедения. - Москва : Наука : Восточная литература, 2014. - ",286,53,3,5004
19247,https://vk.com/wall-88831040_19247,2023-07-22T07:01:12,2023,"Индия в древности [Текст] : (Сборник статей) / Акад. наук СССР. Ин-т народов Азии ; [под ред. и с предисл. акад. В. В. Струве, канд. ист. наук Г. М. Бонгард-Левина]. - Москва : Наука, 1964. - 259 с., ",271,73,2,4125
19033,https://vk.com/wall-88831040_19033,2023-07-04T21:26:51,2023,Не худшие прописи деванагари,267,217,37,5975
22164,https://vk.com/wall-88831040_22164,2024-07-26T19:08:12,2024,"35 лет занял русский перевод десяти мандал ""Ригведы"" у Т.Я. Елизаренковой",260,30,34,4154
20461,https://vk.com/wall-88831040_20461,2023-11-14T14:30:00,2023,"🌝 ОСНОВАТЕЛЬНАЯ ЧЕТВЕРКА 🌛
Или продолжаем разговор о числах 
 
В отличие от динамической целостности, символизируемой числом 3, число 4 является образом статической целостности, идеально устойчивой ст",255,25,11,3758
19873,https://vk.com/wall-88831040_19873,2023-09-12T11:10:34,2023,"📃 Екатерина Чумачек 📃

В каждом направлении есть несколько поколений учеников и исследователей. Екатерина Чумачек (со специализацией в йоге и мантрах) из третьего поколения санскритских учеников М.Ю. ",252,13,6,5359
24587,https://vk.com/wall-88831040_24587,2025-08-22T18:04:27,2025,"Анонс (около)санскритских курсов 2025-2026 
 
Стрим, где Марцис Юрьевич расскажет обо всех предстоящих курсах 
 
по грамматике санскрита (включая Панини), индийской философии, рецитации гимнов, древне",245,16,2,20973
19815,https://vk.com/wall-88831040_19815,2023-09-07T08:28:58,2023,"Приглашаем Вас на он-лайн трансляцию из Института Востоковедения РАН.

В программе:

1. Тамара Геннадьевна Арзуманян. «Тримурти индийской иконографии: Брахма, Вишну, Шива» 

2. Екатерина Николаевна Ша",244,41,11,8752
