id,url,date,year,excerpt,likes,reposts,comments,views
14290,https://vk.com/wall-88831040_14290,2022-05-22T14:08:32,2022,"🔥 Первый полный русский перевод ""Книги тысячи и одной ночи"" 🔥

Книга тысячи и одной ночи. 1: Ночи 1-38; Москва; Ленинград; Academia; 1929; Художественная литература; Арабская литература; Фольклор; Ска",371,524,29,16723
12638,https://vk.com/wall-88831040_12638,2021-11-28T20:40:56,2021,"☢ Полный перевод Ригведы на русский язык ☢

30 лет жизни санскритолога Татьяны Яковлевны Елизаренковой отданы
переводу вед. Скан высокого качества выкладывается в рунете впервые.

Ригведа : Мандалы I-",417,337,32,10492
6912,https://vk.com/wall-88831040_6912,2019-07-05T09:13:22,2019,"Лингвистический энциклопедический словарь / Гл. ред. В. Н. Ярцева. — М.: Сов. энциклопедия, 1990. — 683 с.",69,235,5,18258
19033,https://vk.com/wall-88831040_19033,2023-07-04T21:26:51,2023,Не худшие прописи деванагари,267,217,37,5974
23448,https://vk.com/wall-88831040_23448,2025-02-12T08:09:09,2025,"Чтобы записаться на онлайн-курс ""Йога-сутры"" Патанджали с А.В. Парибком (начало 1-го марта) с сертификатом, пишите https://t.me/rusamskrtam",471,140,215,27054
15984,https://vk.com/wall-88831040_15984,2022-10-01T07:26:13,2022,"Читаешь Пелевина?
Прочти и упанишады.",193,121,14,4177
13272,https://vk.com/wall-88831040_13272,2022-01-29T08:00:00,2022,,207,120,13,3094
14072,https://vk.com/wall-88831040_14072,2022-05-07T07:30:00,2022,А ты смог бы так?,184,113,22,7306
16460,https://vk.com/wall-88831040_16460,2022-11-05T12:00:00,2022,Подборка индийских книг (1/3),141,113,19,3121
10940,https://vk.com/wall-88831040_10940,2021-01-08T18:32:00,2021,"Введение в науку о языке / А. Е. Кибрик и др.; под ред. О. В. Федоровой и С. Г. Татевосова – М.: Буки Веди, 2019. – 672 с. – ISBN 978-5-4465-2188-3. 

Издание представляет собой учебник для студентов,",96,111,2,4707
19536,https://vk.com/wall-88831040_19536,2023-08-09T10:00:00,2023,"📖 Боги, брахманы, люди. Четыре тысячи лет индуизма: Перевод с чешского. 1969. 📖

Книга чешских индологов рассказывает о возникновении и развитии одной из самых древних религий на земле — индуизма, его",159,109,14,4716
19736,https://vk.com/wall-88831040_19736,2023-08-29T20:43:59,2023,"Шейнман-Топштейн,С.Я. Платон и ведийская философия. - Москва : Наука, 1978. - 198 с. - Библиогр. с.196-198. 
 
Философия • Платонизм и неоплатонизм • Древняя Греция",183,92,4,3897
14603,https://vk.com/wall-88831040_14603,2022-06-22T05:07:53,2022,"📔 О сходстве санскритскаго языка с русскимъ. Аделунг Ф., 1811 г.

Санскритъ - языкъ украшенный, образованный, обработанный: (polished). Изыскатели языковъ въ Индіи обыкновенно употребляютъ сіе слово, ",122,89,13,5079
