year,db_theme_ru,html_heading,theme_group_from_html,coded_talks,classical_medieval_pct,religion_history_literature_pct,top_l1,top_l2
2007,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2007»,generic_roerich,0,0.0,0.0,,
2008,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2008. Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии»,text_formation,20,95.0,85.0,history:8; religion:5; literature:4,classical:17; medieval:2; modern:1
2009,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2009. Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии»,text_formation,20,90.0,80.0,religion:10; history:5; philosophy:3,classical:10; medieval:8; unspecified:1
2010,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2010. Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии»,text_formation,31,74.2,71.0,history:9; religion:8; literature:5,classical:16; medieval:7; modern:5
2012,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,"Конференция «Рериховские чтения 2012 (50). Текст и проблемы истории и теории культуры в древности и средневековье (Индия, Центральная Азия, Сибирь)»",generic_roerich,35,74.3,77.1,religion:14; history:9; literature:4,classical:14; medieval:12; modern:5
2013,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2013 (51). Текст и проблемы истории культуры древней и средневековой Индии и Центральной Азии»,generic_roerich,21,76.2,66.7,religion:8; history:4; philosophy:3,classical:11; medieval:5; unspecified:3
2014,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2014 (52). Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии»,text_formation,0,0.0,0.0,,
2015,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Конференция «Рериховские чтения 2015 (53). Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии»,text_formation,31,83.9,67.7,literature:10; history:6; religion:5,classical:16; medieval:10; modern:4
2016,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Рериховские чтения (2016). Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии,text_formation,33,87.9,72.7,religion:15; literature:7; art_archaeology:3,classical:18; medieval:11; modern:3
2017,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LVII Рериховские чтения (2017). Текст и интертекст в культуре: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,38,65.8,57.9,literature:10; religion:10; linguistics:7,classical:16; medieval:9; modern:4
2018,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LVIII Рериховские чтения (2018). Текст и память культуры: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,36,75.0,61.1,religion:13; literature:5; art_archaeology:5,classical:17; medieval:10; modern:6
2019,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LIX Рериховские чтения (2019). Текст и смыслопорождение в культуре: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,32,78.1,71.9,religion:10; literature:8; history:5,medieval:14; classical:11; colonial:3
2020,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,Юбилейные LX Рериховские чтения – 2020 (60). Текст и смыслопорождение в культуре. Древняя и средневековая Индия и Центральная Азия.-,ancient_medieval_india,30,63.3,56.7,literature:8; philosophy:5; religion:5,classical:15; unspecified:7; medieval:4
2021,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LXI Рериховские чтения (2021). Текст и пространство культуры: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,33,66.7,72.7,religion:10; literature:8; history:6,classical:12; medieval:10; modern:7
2022,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LXII Рериховские чтения (2022). Текст и культурная динамика: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,26,69.2,61.5,religion:8; linguistics:5; history:5,classical:12; medieval:6; colonial:3
2023,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LXIII Рериховские чтения (2023). Текст и сдвиги в культуре: древняя и средневековая Индия и Центральная Азия,ancient_medieval_india,17,52.9,70.6,religion:7; history:5; linguistics:3,classical:7; modern:4; vedic:2
2024,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,LXIV Рериховские чтения (2024). Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,ancient_medieval_india,31,74.2,67.7,literature:7; history:7; religion:7,classical:14; medieval:9; modern:3
2025,Древняя и средневековая Индия и Центральная Азия. История. Филология. Культура,"LXV Рериховские чтения (2025). Проблемы формирования текста и культуры древней и средневековой Индии и Центральной Азии, посвященные памяти Ю.Н. Рериха",text_formation,38,76.3,68.4,history:10; religion:9; literature:7,classical:16; medieval:13; modern:5
