microseries,label,count,zograf_count,roerich_count,dominant_series,top_terms,l1_distribution,examples
ethnography_performance,"Этнография, ритуал и перформанс",143,106,37,Zograf,"ритуал, ритуальный, драма, Индия, традиция, театр, обряд, текст, санскрит, образ, танец, фольклор",uncoded: 61; религия: 29; литература: 22; этнография: 20; история: 5; искусство и археология: 3,О жанре вьяйога в санскритской теории драмы; Об особенностях самосознания представителей «низких каст» в современных условиях; Отряхивающийся ныряльщик: о специфическом фольклорном мотиве в эпических и пуранических версиях «Сказания о Вепре» (Varāha-kathā)
dravidology_south_india,Дравидология / южноиндийский контур,67,45,22,Zograf,"тамильский, поэзия, Южная Индия, традиция, язык, средневековый, дравидология, литература, поэма, семантика, родство, храм",uncoded: 21; литература: 20; религия: 8; лингвистика: 5; искусство и археология: 5; этнография: 4,Миф об Агастье в средневековой литературе телугу; О взаимоотношении религиозных конфессий в средневековом Тамилнаде; Дидактические шатаки в литературе телугу (К характеристике жанровых особенностей). 3. Т. Г .Скороходова (Пенза). Интерпретация традиционного индийского текста либеральными мыслителями Бенгальского Возрождения
museum_collections,Музейные собрания и коллекции,58,38,20,Zograf,"коллекция, собрание, рукопись, ИВР РАН, МАЭ РАН, Минаев, Юрий Рерих, маэ, Тибет, Индия, кабинет, зал",uncoded: 27; искусство и археология: 10; тибетология: 6; история: 6; религия: 4; литература: 2,"Перевод Г.С.Лебедевым поэмы Бхарат Чондро Рая «Биддешундор» (по рукописи, хранящейся в РГИА). Предварительное сообщение; Мандалы Ваджрачхедики в коллекции Одесского Музея Западного и Восточного Искусства; «О Неодолимая Богиня, поклонение да будет тебе!» (О ритуальной части Калика-пураны) 14.00. Детский центр МАЭ РАН"
tibetology_himalaya,Тибетология / гималайский контур,56,20,36,Roerich,"Тибет, Юрий Рерих, язык, текст, буддизм, собрание, традиция, танка, ладакх, санскрит, коллекция, Индия",uncoded: 16; тибетология: 14; лингвистика: 11; история: 6; искусство и археология: 5; религия: 4,«Ум и знание» - тибетский учебник по теории познания; О соотношении санскритского и тибетского текстов «Гимна Превосходящему богов» Шанкарасвамина; «Гимн Таре» Сарваджнямитры и его тибетские переводы
vedic_studies,Ведийские исследования,54,42,12,Zograf,"ведийский, Ригведа, текст, ритуал, традиция, этимология, индоевропейский, практика, семантика, гимн, параллель, Индия",uncoded: 28; религия: 13; лингвистика: 10; история: 1; прочее: 1; философия: 1,Эротика в Ригведе: мужское и женское начало; Еще раз о слове ātman в Ригведе; К вопросу о средствах передвижения в Ригведе
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",51,46,5,Zograf,"бенгальский, Тагор, Бенгалия, возрождение, Индия, традиционный, мыслитель, текст, образ, традиция, Рабиндранат, поэзия",uncoded: 22; философия: 7; лингвистика: 7; литература: 6; этнография: 3; религия: 3,Интерпретация идей Упанишад у Раммохона Роя и Дебендронатха Тагора; «Мадхан-кам» – народная драма Северной Бенгалии (с демонстрацией видеоматериалов); Дидактические шатаки в литературе телугу (К характеристике жанровых особенностей). 3. Т. Г .Скороходова (Пенза). Интерпретация традиционного индийского текста либеральными мыслителями Бенгальского Возрождения
pali_early_buddhism,Пали и ранний буддизм,49,17,32,Roerich,"пали, канон, буддизм, литература, санскрит, ранний, джатака, сюжет, текст, Индия, формирование, Тибет",религия: 14; uncoded: 14; литература: 11; лингвистика: 5; философия: 2; тибетология: 1,Механизмы передачи сакрального текста в школах раннего буддизма (К постановке проблемы); Альтернативные социальные классификации в палийском каноне; Тибетская джатака о Маллике как исток образа бхавачакры
china_mongolia_inner_asia,"Китай, Монголия и Центральная Азия",43,4,39,Roerich,"китайский, Азия, центральный, монгольский, буддизм, история, текст, культура, перевод, Будда, Тибет, источник",uncoded: 13; история: 11; лингвистика: 9; религия: 6; тибетология: 3; этнография: 1,"Кыргызы в Центральной Азии (9 век); Сравнительный анализ описаний буддийских монахинь в тибетской, китайской и японской агиографической литературе; Отражение оппозиции «свой – чужой» в традиционных представлениях о землепользовании кочевников Центральной Азии"
nepal_newar_kathmandu,Непал и неварский контур,39,25,14,Zograf,"Непал, непальский, буддизм, неварский, Катманду, обряд, ритуальный, долина, иконография, легенда, религия, Минаев",uncoded: 17; религия: 12; литература: 3; искусство и археология: 3; история: 3; этнография: 1,Институт гутхи в древнем и средневековом Непале; Некоторые историко-культурные аспекты символики национального флага Непала (V – XXI вв.); Непал: от конфессионального компромисса до секуляризма (Некоторые штрихи истории духовной культуры)
roerich_studies,Рериховедение и Кабинет Ю. Н. Рериха,39,0,39,Roerich,"Юрий Рерих, Рерих, Тибет, кабинет, коллекция, собрание, история, ИВ РАН, танка, язык, буддизм, Москва",история: 14; uncoded: 9; лингвистика: 5; искусство и археология: 5; тибетология: 3; религия: 2,Н.К. Рерих с семьей в Синцзяне в 1926 г; Востоковед Ю.Н. Рерих: начало пути в науке; Ю.Н. Рерих: монография «Тибетская живопись»
sanskrit_grammar_panini,Санскритская грамматика / Панини,34,25,9,Zograf,"Панини, грамматика, санскрит, слово, варна, парибхаша, традиция, спхота, терминология, веданта-парибхаш, восприятие, дхармарадж",лингвистика: 17; uncoded: 12; философия: 3; религия: 1; история: 1,Концепция спхоты в «Спхотасиддхи» Манданамишры; Технические приспособления для рубрикации корней в «Дхатупати» Панини; Атманепада в санскрите и в грамматиках
hindi_urdu_new_indo_aryan,"Новые индоарийские языки: хинди, урду, бенгали",23,21,2,Zograf,"хинди, язык, куллуи, Индия, литература, новый, лексика, контекст, пословица, этимология, история, проза",лингвистика: 9; uncoded: 9; литература: 5,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди; К вопросу о сюжетных и стилистических истоках ранних приключенческих романов на хинди; «Рассказ о рани Кетаки» Инш-алла Хана в контексте развития ранней прозы на хинди и урду
