att_id,filename,ext,size_mb,poster,year,subject,bucket,confidence,evidence,verdict_source
137,shabkar_flight-of-the-garuda.pdf,pdf,0.85,Stepan,2025,Разница между सत्त्व и सत्व,D-third,high,"Shabkar / Flight of the Garuda, Tony Duff transl. (Kindle) — in copyright and marked restricted by its own front matter",override
196,PRANYAMA MANTRA.pdf,pdf,2.36,Alexander Myltsev,2025,Аудио с правильным произношением prāṇāyāmamantrāḥ,E,low,"PRANYAMA MANTRA.pdf — no text layer, provenance unclear",override
204,Йогасутра-Ошибка в заголовке.pdf,pdf,0.31,Mihail Rachitskiy,2025,Йогасутра. Ошибка в заголовке (имя Патанджали),D-author,high,"Рачицкий, замечания к публикации Йога-сутр — his own note",override
205,перечень изданий по йоге.pdf,pdf,0.55,Mihail Rachitskiy,2025,Йогасутра. Ошибка в заголовке (имя Патанджали),D-third,medium,перечень изданий по йоге — Tamil library catalogue sheet,override
238,Йога.pdf,pdf,0.75,Владимир Карицкий,2025,Бхаджа Говиндам,D-author,high,"Карицкий, Йога essay — his own",override
239,Говинда-Дамодара-стотрам.pdf,pdf,0.5,Владимир Карицкий,2025,Бхаджа Говиндам,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
240,Бхаджа Говиндам.pdf,pdf,0.17,Владимир Карицкий,2025,Бхаджа Говиндам,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
241,Шанкара_БхаджаГовиндам(перевод_МГалкина).pdf,pdf,0.28,Mihail Rachitskiy,2025,Бхаджа Говиндам,D-author,high,"Шанкара Бхаджа Говиндам, перевод М. Галкина — translator-posted-adjacent; permission via Рачицкий/Галкин",override
255,kha-ошибки PWG-к исправлению.pdf,pdf,0.35,Mihail Rachitskiy,2025,Ошибки в Кёльнских словарях,D-author,high,"Рачицкий, ошибки PWG — his own errata note",override
291,Список повторяющихся Имён.doc,doc,0.05,Владимир Карицкий,2024,Вишну-сахасра-нама-стотра с комментарием Шанкары,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
292,Vishnu_22_12_2024.doc,doc,3.1,Владимир Карицкий,2024,Вишну-сахасра-нама-стотра с комментарием Шанкары,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
293,Vishnu_26_11_2024.doc,doc,3.06,Владимир Карицкий,2024,Вишну-сахасра-нама-стотра с комментарием Шанкары,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
294,ВСНС_Шанкара-бхашья_26_11_2024.pdf,pdf,4.78,Владимир Карицкий,2024,Вишну-сахасра-нама-стотра с комментарием Шанкары,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
295,ВСНС_Шанкара-бхашья_24_11_2024.pdf,pdf,4.73,Владимир Карицкий,2024,Вишну-сахасра-нама-стотра с комментарием Шанкары,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
296,Введение.pdf,pdf,0.15,Владимир Карицкий,2024,Вишну-сахасра-нама-стотра с комментарием Шанкары,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
311,buhler.docx,docx,0.58,Constantine,2024,"Верный ли перевод конструкции ""эти..другие..""Х",D-author,medium,buhler.docx — study excerpt/exercise from poster,override
324,Sandhi-Overview-A4.pdf,pdf,0.07,Konstantin Ivanov,2024,Таблица сандхи,D-third,medium,"Sandhi overview A4 (English intro chapter numbering) — from a Western textbook, unidentified edition",override
411,bhuler_sample.docx,docx,0.02,Alexander Myltsev,2023,Деванагари в системе LaTeX и Microsoft Word,D-author,medium,bhuler_sample.docx — poster's own LaTeX/Word sample,override
418,Taitiria_upanishad_Schankara-bkhashyam_08 02 24.pdf,pdf,5.54,Владимир Карицкий,2024,Упанишады,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
436,"Тихвинский В.И., Густяков Ю.М. Адипарва 1, 208-210.pdf",pdf,0.07,tvitaly1,2023,Грядет добавка из книги первой Махабхараты,D-author,high,Тихвинский/Густяков Адипарва 208-210 — authors' own,override
477,Глава из Шри Кшетры.pdf,pdf,0.2,Владимир Карицкий,2023,upaniṣad,D-third,medium,"Шри Кшетра chapter / Храм Джаганнатхи — devotional book excerpts, in copyright",override
478,Храм Джаганнатхи в Пури.doc,doc,0.07,Владимир Карицкий,2023,upaniṣad,D-third,medium,"Шри Кшетра chapter / Храм Джаганнатхи — devotional book excerpts, in copyright",override
596,GuhyaKali_Sudha_Dhara_Stava_from_Mahakala_Samhita_-_Ram_Murti_Shastri.pdf,pdf,5.16,Даниил Кокурин,2022,Текст 108 имен Богини Сарасвати,D-third,medium,"GuhyaKali Sudha Dhara Stava (Ram Murti scan) — devotional scan, provenance unclear, treat in copyright",override
599,Vishnu_markup_05_02_2022.pdf,pdf,4.39,Владимир Карицкий,2022,Доброта Вишну. Вопрос.,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
600,Бхаджо Говиндам.pdf,pdf,0.11,Владимир Карицкий,2022,Доброта Вишну. Вопрос.,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
619,aura i svechenie _ Caraka samhita.docx,docx,0.12,Darius Sruoginis,2022,Какое санскритское слово в Чарака-самхите Р. Свобода переводит словом «аура»,D-third,medium,Caraka-saṃhitā Svoboda-transl. discussion excerpt — quotes an in-copyright translation,override
669,Таитирия пуруша.pdf,pdf,0.79,Владимир Карицкий,2021,Таитирия Пуруша,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
678,4-22.docx,docx,0.27,basil alibabaevich,2023,Мои ответы к учебнику Голдмана,D-author,medium,ответы к учебнику Голдмана — poster's own exercises (quotes Goldman's textbook),override
706,Некоторые военные вопросы в древнеиндийском эпосе _ В.И. Кальянов _ed.pdf,pdf,4.3,Darius Sruoginis,2022,Виды оружия у древних индийцев,D-third,high,"Кальянов, Некоторые военные вопросы… — Soviet-era article, in copyright (d. 2001)",override
778,On Chandālas.pdf,pdf,0.24,Natālija Burišina,2021,Срочно нужна помощь,D-third,high,"Bose, The Chandāla — Indian History Congress 1939 via JSTOR — in copyright",override
832,DTP work profile.pdf,pdf,5.06,Vikas Murarka,2020,Typesetter in Sanskrit and Hindi,D-author,high,Vikas Murarka's own DTP portfolio — his own document,override
925,Знакомство с Аштадхьяей_3_3.doc,doc,0.13,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
926,Знакомство с Аштадхьяей_3_3.pdf,pdf,0.76,Владимир Карицкий,2020,Знакомство с Аштадхьяей_3_3,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
927,Знакомство с Аштадхьяей_3_2.doc,doc,0.23,Владимир Карицкий,2019,Знакомство с Аштадхьяей_3_2,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
928,Знакомство с Аштадхьяей_3_2.pdf,pdf,0.89,Владимир Карицкий,2019,Знакомство с Аштадхьяей_3_2,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
944,Знакомство с Аштадхьяей_4_5_अष्टाध्याय्यां प्रत्ययः प्रक्रिया च – समग्रदृष्टिः.doc,doc,0.39,Владимир Карицкий,2020,Знакомство с Аштадхьяей_4_5_अष्टाध्याय्यां प्रत्ययः प्रक्रिया च – समग्रदृष्टिः,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
945,Знакомство с Аштадхьяей_4_5_अष्टाध्याय्यां प्रत्ययः प्रक्रिया च – समग्रदृष्टिः.pdf,pdf,0.82,Владимир Карицкий,2020,Знакомство с Аштадхьяей_4_5_अष्टाध्याय्यां प्रत्ययः प्रक्रिया च – समग्रदृष्टिः,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
946,Знакомство с Аштадхьяей_4_4_सार्वधातुकलकाराः आर्धधातुकलकाराः च – अधिकचिन्तनम्.doc,doc,0.3,Владимир Карицкий,2020,Знакомство с Аштадхьяей_4_4_सार्वधातुकलकाराः आर्धधातुकलकाराः च – अधिकचिन्तनम्,D-author,high,"Карицкий's own teaching materials/translations (Аштадхьяя lessons, Упанишады, БГ, стотры, ВСНС) — author-posted; permission one email away",series-rule
