curation_status,effective_track,case_type,thread_count
candidate,,general discussion,186
candidate,,announcement,3
candidate,,bibliographic rescue,3
candidate,,debate/controversy,3
candidate,,announcement/event,1
candidate,,memorial/community memory,1
candidate,infrastructure_history,digital resource/tool,6
candidate,infrastructure_history,general discussion,6
candidate,infrastructure_history,bibliographic rescue,2
candidate,infrastructure_history,philological debate,2
candidate,philological_substance,identification/help request,15
candidate,philological_substance,general discussion,13
candidate,philological_substance,philological debate,7
candidate,philological_substance,philological discussion,2
