thread_root_id,year,thread_subject,primary_topic,list_function,message_count,author_count,reply_count,reply_density
052077,2020,A distraction from the Coronavirus,General scholarly discussion,general discussion,122,19,122,1.0
013924,1998,SV: Paired Horse and PIE breakup,General scholarly discussion,general discussion,108,14,106,0.9815
049514,2019,Non-standard sandhi,Grammar and linguistics,philological discussion,82,10,81,0.9878
015606,1999,Ontology of Ramanuja,General scholarly discussion,general discussion,74,12,73,0.9865
023195,2000,"""Science"" in India",History and culture,general discussion,70,34,68,0.9714
019623,2000,Millennium,General scholarly discussion,general discussion,61,16,60,0.9836
010710,1998,Tamil words in English,General scholarly discussion,general discussion,59,26,57,0.9661
015672,1999,"questions: hymns, latAveZin, manner of death",General scholarly discussion,general discussion,58,20,57,0.9828
049728,2019,Sexism and Bias on INDOLOGY governing committee,General scholarly discussion,debate/controversy,56,35,55,0.9821
014599,1998,'Siva and Avalokitezvara,General scholarly discussion,general discussion,55,14,54,0.9818
012389,1998,South India geography,General scholarly discussion,general discussion,53,15,51,0.9623
051856,2020,A distraction from the Coronavirus,General scholarly discussion,general discussion,52,16,51,0.9808
048256,2018,Sanskrit can tackle climate change,General scholarly discussion,general discussion,51,15,50,0.9804
014966,1999,Early Giithaa sculptures,General scholarly discussion,general discussion,49,16,47,0.9592
016740,1999,original inhabitants of Sri Lanka,General scholarly discussion,general discussion,48,17,47,0.9792
020450,2000,BiBTeX Packages for citing MSS,Veda and ritual,general discussion,47,22,46,0.9787
017083,1999,DharmasthaLa,General scholarly discussion,general discussion,46,19,45,0.9783
023602,2000,HTML Based Email (AOL 6.0),General scholarly discussion,general discussion,46,19,44,0.9565
012034,1998,Zraadha in Nepal,General scholarly discussion,general discussion,45,18,43,0.9556
011114,1998,Indo-Aryan invasion,General scholarly discussion,general discussion,45,15,44,0.9778
013052,1998,Early excommunications from / inclusions into vedic ...,General scholarly discussion,general discussion,45,14,44,0.9778
039600,2014,Alchemy metaphor,General scholarly discussion,general discussion,45,12,44,0.9778
050859,2019,Query on verse forms,General scholarly discussion,identification/help request,45,5,44,0.9778
030283,2007,Pancaratna of the MBh?,General scholarly discussion,general discussion,44,26,43,0.9773
014738,1998,Kamban's Aryan,General scholarly discussion,general discussion,44,14,43,0.9773
032607,2009,frequencies,General scholarly discussion,general discussion,43,16,42,0.9767
049523,2019,pracodayāt in gāyatrī mantras,General scholarly discussion,general discussion,43,5,42,0.9767
058304,2023,"Whitney and doubling of ""ch""",General scholarly discussion,general discussion,42,18,41,0.9762
041200,2015,Article about the politics surrounding indology at the IHRC,General scholarly discussion,debate/controversy,42,15,41,0.9762
054683,2021,The Buddhist term sutta,General scholarly discussion,general discussion,41,21,40,0.9756
023085,2000,Summer Malayalam,General scholarly discussion,general discussion,41,12,40,0.9756
030315,2007,"Indology and ""the disastrous ideology of the 'pure Aryan race'""",General scholarly discussion,general discussion,40,18,38,0.95
060627,2025,Johannes Bronkhorst gone,General scholarly discussion,general discussion,39,38,38,0.9744
006983,1997,Update 2 to Pali Canon online,General scholarly discussion,general discussion,39,22,38,0.9744
024160,2000,Correction re: Cerebral L in Rg Veda,General scholarly discussion,general discussion,39,21,38,0.9744
008004,1997,hair's colour in sanskrit,General scholarly discussion,general discussion,39,20,38,0.9744
022237,2000,Rajaram's PILTDOWN horse,General scholarly discussion,general discussion,39,20,38,0.9744
033994,2010,INDOLOGY FAQ. Re. Varanasi,General scholarly discussion,general discussion,39,19,37,0.9487
011216,1998,Padmabhushan,General scholarly discussion,general discussion,39,16,38,0.9744
059324,2024,Analogues to Anselm's Ontological Arguments in Indian Philosophy?,General scholarly discussion,general discussion,39,10,38,0.9744
053691,2020,Anniversary of INDOLOGY,General scholarly discussion,general discussion,38,33,37,0.9737
024525,2000,Questions on Indian idealism,General scholarly discussion,general discussion,38,17,37,0.9737
015007,1999,Jaffrelot book,General scholarly discussion,general discussion,37,19,35,0.9459
017521,1999,"Is ""Sanskrit"" Dravidian?",General scholarly discussion,general discussion,37,13,35,0.9459
044510,2016,bhakti,General scholarly discussion,general discussion,37,11,36,0.973
021503,2000,"Madhava, Vidyaranya, Sringeri, and Kulke",General scholarly discussion,general discussion,37,7,35,0.9459
048529,2018,Soma and Amanita muscaria,Veda and ritual,general discussion,36,19,35,0.9722
