renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
state,V,Buddhist / Jaina,1992,Buddhism and Jainism,general discussion,2,2,2
state,V,Buddhist / Jaina,1993,Buddhism and Jainism,general discussion,5,5,5
state,V,Buddhist / Jaina,1993,Buddhism and Jainism,philological discussion,2,2,2
state,V,Buddhist / Jaina,1994,Buddhism and Jainism,general discussion,9,7,8
state,V,Buddhist / Jaina,1995,Buddhism and Jainism,general discussion,13,10,11
state,V,Buddhist / Jaina,1995,General scholarly discussion,general discussion,13,9,10
state,V,Buddhist / Jaina,1995,List administration,list administration,1,1,1
state,V,Buddhist / Jaina,1996,Buddhism and Jainism,general discussion,24,19,19
state,V,Buddhist / Jaina,1996,Digital resources and tools,digital resource/tool,8,2,5
state,V,Buddhist / Jaina,1996,General scholarly discussion,general discussion,1,1,1
state,V,Buddhist / Jaina,1997,Buddhism and Jainism,general discussion,17,16,17
state,V,Buddhist / Jaina,1997,Buddhism and Jainism,philological discussion,3,3,3
state,V,Buddhist / Jaina,1997,Digital resources and tools,digital resource/tool,3,3,3
state,V,Buddhist / Jaina,1997,General scholarly discussion,general discussion,2,2,2
state,V,Buddhist / Jaina,1998,Buddhism and Jainism,general discussion,6,6,6
state,V,Buddhist / Jaina,1998,Buddhism and Jainism,identification/help request,6,4,5
state,V,Buddhist / Jaina,1998,Buddhism and Jainism,philological discussion,3,3,3
state,V,Buddhist / Jaina,1998,Digital resources and tools,digital resource/tool,1,1,1
state,V,Buddhist / Jaina,1999,Buddhism and Jainism,general discussion,24,22,20
state,V,Buddhist / Jaina,1999,Digital resources and tools,digital resource/tool,1,1,1
state,V,Buddhist / Jaina,2000,Announcements and events,job/position,1,1,1
state,V,Buddhist / Jaina,2000,Buddhism and Jainism,general discussion,70,53,44
state,V,Buddhist / Jaina,2000,General scholarly discussion,general discussion,3,3,3
state,V,Buddhist / Jaina,2001,Buddhism and Jainism,general discussion,15,13,13
state,V,Buddhist / Jaina,2002,Buddhism and Jainism,general discussion,2,2,2
state,V,Buddhist / Jaina,2002,General scholarly discussion,general discussion,1,1,1
state,V,Buddhist / Jaina,2003,Announcements and events,job/position,1,1,1
state,V,Buddhist / Jaina,2003,Buddhism and Jainism,general discussion,4,3,4
state,V,Buddhist / Jaina,2004,Buddhism and Jainism,general discussion,2,2,1
state,V,Buddhist / Jaina,2004,Digital resources and tools,digital resource/tool,1,1,1
state,V,Buddhist / Jaina,2005,Buddhism and Jainism,general discussion,4,3,4
state,V,Buddhist / Jaina,2005,General scholarly discussion,general discussion,2,1,2
state,V,Buddhist / Jaina,2006,Announcements and events,announcement/event,2,2,2
state,V,Buddhist / Jaina,2006,Buddhism and Jainism,general discussion,9,7,8
state,V,Buddhist / Jaina,2006,Digital resources and tools,digital resource/tool,2,1,2
state,V,Buddhist / Jaina,2007,Announcements and events,announcement/event,5,5,5
state,V,Buddhist / Jaina,2007,Buddhism and Jainism,general discussion,7,6,7
state,V,Buddhist / Jaina,2007,Digital resources and tools,digital resource/tool,3,3,3
state,V,Buddhist / Jaina,2008,Announcements and events,announcement/event,3,3,2
state,V,Buddhist / Jaina,2008,Buddhism and Jainism,general discussion,52,18,31
state,V,Buddhist / Jaina,2009,Announcements and events,announcement/event,5,5,5
state,V,Buddhist / Jaina,2009,Bibliographic requests,general discussion,2,2,2
state,V,Buddhist / Jaina,2009,Buddhism and Jainism,general discussion,15,11,11
state,V,Buddhist / Jaina,2009,Buddhism and Jainism,obituary/memorial,1,1,1
state,V,Buddhist / Jaina,2009,Digital resources and tools,digital resource/tool,1,1,1
state,V,Buddhist / Jaina,2009,General scholarly discussion,general discussion,3,2,3
state,V,Buddhist / Jaina,2009,History and culture,general discussion,1,1,1
