presentation_id,tags
PRES_2a08c0cb86,актуальный|бхагавадгита
PRES_3dfb43981f,знание|тибет|учебник|теория|познание
PRES_3faf9b7b24,сюжет|тереть|этноисторический|основа
PRES_440de90864,миф|агастие|средневековый|литература|телугу
PRES_4dc8f2c386,астрологический|герменевтика|медицинский|текст|аюрведа
PRES_5461e391b0,сюжет|повесть|насикета|садать|мишра|контекст|история|проза|хинди
PRES_5ec00edd5f,литература|реминисценция|гаудавахо|вакпатирадж
PRES_630760bcac,психология|акт|самопожертвование|изображение|драматург|век
PRES_646225a03b,опровержение|атомизм|трактат|васубандх|виджняптиматратасиддх|доказательство|единственность|сознание
PRES_6c8531953d,концепция|спхота|спхотасиддх|манданамишра
PRES_6e17572f1f,классификация|индуистский|тантрический|школа
PRES_6e5928cac8,богиня|дерево|желание|индуизм|центральный|гималаи
PRES_764a73ce7c,специальный|санскрит|терминология|термин|адхьякша|индия|традиция
PRES_7f70e3b9a4,шанкара|критик|категория|вайшешик
PRES_8a6d651579,жанр|вьяйог|санскрит|теория|драма
PRES_8ee46835ab,мокша|бхагавата-пурана
PRES_92c5268a51,фигура|царь|представление|время|махабхарат
PRES_97ad954200,лук|оружие
PRES_98a6bea15e,синоним|речь|нигхант
PRES_9e203d9b3f,взаимоотношение|религия|конфессия|средневековый|тамилнад
PRES_a535b2a757,замечание|формальный|сторона|рикпратишакхие
PRES_a8e1a30833,перевод|лебедев|поэма|бхарат|чондро|рай|биддешундор|рукопись|храниться|ргиа|предварительный|сообщение
PRES_ba501c2543,эротика|ригведа|мужской|женский|начало
PRES_c567f22f17,лексика|эпизод|завершать|книга|махабхарат
PRES_ceb3b3ba00,деви-гит|девибхагават-пурана
PRES_d2281e2acf,священный|география|творчество|тирунянасамбандар|шиваитский|поэтический|комплекс|девар
PRES_e793d570a3,буддизм|творчество|джаяшанкара|прасад
PRES_ec5840a950,слово|ригведа
PRES_117aeb7260,уточняться
PRES_2048f4153d,модель|христианский|индо-буддийский|время|современный|литература
PRES_20910e0f90,санскрит|слышать|вслушиваться|древнеиндийский|способ|гадание
PRES_37a471ecf5,древнеиндийский|хронология
PRES_409770d89b,идея|упанишад|раммохон|рой|дебендронатх|тагор
PRES_41b4c6fe83,комментарий|комментарий|лебедев|культурный|жизнь|калькутта
PRES_457408b87a,бхартрихари|дхармакиртеть|рефлексивный|акт|познание
PRES_49eb37c334,орфоэпический|практика|древнеиндийский|фонетика
PRES_594bd8ec61,царский|титулатура|индо-греков
PRES_5b0c00b805,технический|приспособление|рубрикация|корень|дхатупатх|панини
PRES_60da65c55e,безымянный|герой|роман|хазарипрасад|двиведи
PRES_748beb327e,девибхагават-пурана|процесс|эволюция|шактизм
PRES_74c89353ef,царь|установитель|дхарма|практический|идеологический|концепция
PRES_77b298a44b,изображение|текст|древнеиндийский|рельеф|буддизм|вербальный|текст
PRES_80ebdc8f23,символика|способ|почитание|богиня|тара|индуизм|демонстрация|видеоматериал
PRES_933f4317bd,самосознание|представитель|низкий|каста|современный|условие
PRES_960adc4efb,вытеснение|согласный|избежание|возникновение|тяжелый|группа|три|шумный|согласный|индоиранский
PRES_aa8c66a571,перевод|библия|санскрит|программа|возможный|изменение|дополнение
PRES_aaee698889,жизнеописание|праведный|царь|ашок|индия|тайский|источник
PRES_ac20c3981b,индия|философия|текст|композиция|часть|содержание
PRES_b1d123ee06,деревня|саттасаи
PRES_bb69fb252f,соотношение|санскрит|тибет|текст|гимн|превосходящий|бог|шанкарасвамин
PRES_bdb9ecf419,механизм|передача|сакральный|текст|школа|ранний|буддизм|постановка
PRES_d5cc6c0374,сюжетный|стилистический|исток|ранний|приключенческий|роман|хинди
PRES_dfef1a443f,представление|общество|власть|бхагавата-пурана
PRES_f771f5827d,завершать|строфа|махабхарат|лексика|семантика
PRES_fa7c38b2f3,энциклопедия|абхидхарма|васубандх|произведение|санскрит|литература
PRES_fcd64d09ac,отряхиваться|ныряльщик|специфический|фольклорный|мотив|эпический|пуранический|версия|сказание|вепрь
PRES_10c2c66c17,древнеиндийский|диалект|ранний|фонетический|трактат
PRES_198427c45a,гимн|тара|сарваджнямитра|тибет|перевод
PRES_1be5fd6c7a,мадхан-ка|народный|драма|северный|бенгалия|демонстрация|видеоматериал
PRES_2b5692727a,рассказ|рань|кетаки|инш-алла|хан|контекст|развитие|ранний|проза|хинди|урду
PRES_3fd8e2489c,кинематографический|текст|современный|индия|культура
PRES_43e4e4e60d,плач|состав|древний|махакавие
PRES_4bb24c3c11,статус|естественный|описание|индия|поэтика
PRES_55fff640ca,средство|передвижение|ригведа
PRES_57404d8de8,становление|вишишт-адвайта
PRES_57ccd5c672,дидактический|шатака|литература|телугу|характеристика|жанровый|скороходов|пенза|традиционный|индия|текст|либеральный|мыслитель|бенгальский|возрождение
PRES_632589d9f1,смерть|новый|рождение|учение|промежуточный|существование|абхидхармакош|васубандх
PRES_649f8342d7,сезонный|суточный|цикл|санскрит|драма|санскрит|драма
PRES_65a7d6e51a,философ|нагарджун|персонаж|пракритский|роман|лилавай
PRES_693b5d83a6,индия|памятник|герой|сравнительный|освещение|материальный|соответствие|поэтический|формула|непреходящий|слава
PRES_7052e31e46,описание|военный|техника|индия|сочинение|век|калачакра|тантра|радж
PRES_7e16512005,бык|человек|образ|стадо|скотоводческий|эпос|южная_индия
PRES_8c102cb0c2,теоретический|учение|тантрический|школа|кула|согласно|куларнава-тантра
PRES_8e0d2df4b1,миф|махишасурамардань|девибхагават|калика-пуран
PRES_932ae951cd,санскрит|письмо|последовательный|фонетический|транскрипция
PRES_9ade78ff58,очерк|цейлон|индия|минаев|источник|культурный|история|индия
PRES_a3301e22aa,образ|чайтанья|традиционный|бенгальский|текст
PRES_a40d40eed0,лингвофилософский|пара-тримшика-виварать|абхинавагупта
PRES_a7d32d94a9,типология|храмовый|сооружение|текст|пураны|брихатсамхит
PRES_c190e58dae,язык|источник|аргументация|рассуждение|самбандха
PRES_c2c6d7f2b6,эндогамия|каста
PRES_cb85e06342,чем|непосредственность|непосредственный|восприятие|буддизм|эпистемология
PRES_df3611adf0,джьотиша|аюрведа|астрологический|семантика|классический|индия|медицина
PRES_e564be93e3,великий|малый|надпись|ашок
PRES_f24e720def,москва|маруда|старый|тамильский|поэзия
PRES_08257e3ccf,альтернативный|социальный|классификация|пали|канон
PRES_08e8316d53,кыргыз|центральный|азия|век
