cohort,person_id,display_name,birth_year,first_year,last_year,talks_before_threshold,talks_after_threshold,living_status_basis,review_status,interpretation_note
absent_in_2026,PERS_5228da95,Вертоградова Виктория Викторовна,1933,2006,2024,17,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_in_2026,PERS_f5b8b340,Вигасин Алексей Алексеевич,1946,2006,2025,7,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_after_2022,PERS_88d163c1,Видунас Витис,1960,2004,2019,15,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant through 2022, absent in 2023-2026 archive data."
absent_in_2026,PERS_88d163c1,Видунас Витис,1960,2004,2019,15,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_in_2026,PERS_efc88709,Канаева Наталия Алексеевна,1953,2013,2025,6,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_after_2022,PERS_ba81468a,Кокова Юлия Георгиевна,1955,2004,2018,8,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant through 2022, absent in 2023-2026 archive data."
absent_in_2026,PERS_ba81468a,Кокова Юлия Георгиевна,1955,2004,2018,8,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_after_2022,PERS_e96139bd,Коробов Владимир Борисович,1957,2011,2020,5,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant through 2022, absent in 2023-2026 archive data."
absent_in_2026,PERS_e96139bd,Коробов Владимир Борисович,1957,2011,2020,5,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_in_2026,PERS_12125da9,Лысенко Виктория Георгиевна,1953,2004,2025,25,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_after_2022,PERS_e5a5ac24,Невелева Светлана Леонидовна,1937,2004,2011,6,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant through 2022, absent in 2023-2026 archive data."
absent_in_2026,PERS_e5a5ac24,Невелева Светлана Леонидовна,1937,2004,2011,6,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_after_2022,PERS_e72d4c09,Огнева Елена Дмитриевна,1944,2008,2022,13,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant through 2022, absent in 2023-2026 archive data."
absent_in_2026,PERS_e72d4c09,Огнева Елена Дмитриевна,1944,2008,2022,13,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_in_2026,PERS_c48611e0,Островская Елена Петровна,1950,2006,2025,16,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_in_2026,PERS_f940c5b3,Стрелкова Гюзэль Владимировна,1958,2004,2024,5,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
absent_after_2022,PERS_3074a8e5,Терентьев Андрей Анатольевич,1948,2013,2022,5,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant through 2022, absent in 2023-2026 archive data."
absent_in_2026,PERS_3074a8e5,Терентьев Андрей Анатольевич,1948,2013,2022,5,0,death_year blank in local database; externally verify before biographical claims,review,"Frequent senior-generation participant before 2026, absent from the 2026 Zograf programme in current data."
