source_scheme,source_label,target_scheme,target_label,mapping_relation,rationale,evidence_count,review_status,version
conferences_meso,advaita_vedanta,intellectual_content,religion_philosophy,narrow,Proposed meso code; Advaita Vedanta is darsana study proper.,1,pending,1.0.0
conferences_meso,architecture_purana,intellectual_content,manuscripts_epigraphy_material,related,"Proposed meso code; temple-architecture material overlaps material culture, the puranic-text half does not — overlap without containment.",1,pending,1.0.0
conferences_meso,architecture_purana,intellectual_content,religion_philosophy,related,The puranic half overlaps religious-literature study; associative.,1,pending,1.0.0
conferences_meso,assam,intellectual_content,history_culture,narrow,Regional-studies code under the social-cultural rubric.,5,pending,1.0.0
conferences_meso,bengal,intellectual_content,history_culture,narrow,Regional-studies code under the social-cultural-history rubric.,49,pending,1.0.0
conferences_meso,bengal_bhakti_modernity,intellectual_content,history_culture,narrow,"Regional-cum-period code (Bengal, modernity) under the social-cultural rubric.",6,pending,1.0.0
conferences_meso,bengal_bhakti_modernity,intellectual_content,religion_philosophy,related,The bhakti component overlaps devotional-religion studies; associative.,6,pending,1.0.0
conferences_meso,bhakti_vaishnava,intellectual_content,religion_philosophy,narrow,Devotional-tradition studies inside the religion rubric.,45,pending,1.0.0
conferences_meso,board_games,intellectual_content,history_culture,related,Games (e.g. caturanga lineages) studied as cultural history; associative overlap with no containment.,5,pending,1.0.0
conferences_meso,buddhist_studies,intellectual_content,religion_philosophy,narrow,"Buddhist studies is a subfield of the religion-and-philosophy rubric (doctrine, practice, philosophy of Buddhist traditions).",217,pending,1.0.0
conferences_meso,china_mongolia_inner_asia,intellectual_content,history_culture,narrow,Regional-studies code (Inner Asia) under the social-cultural rubric.,28,pending,1.0.0
conferences_meso,colonial_encounters,intellectual_content,history_culture,narrow,Colonial-period social/cultural history.,32,pending,1.0.0
conferences_meso,comparative_analysis,intellectual_content,,unmapped,"Method marker, not a topic; forcing a comparative-method code into a content label would fabricate topical information the code does not carry.",66,pending,1.0.0
conferences_meso,corpus_linguistics,intellectual_content,digital_computational,narrow,Proposed meso code; corpus building/processing is computational-methods work.,1,pending,1.0.0
conferences_meso,corpus_linguistics,intellectual_content,grammar_linguistics,related,"Corpus linguistics overlaps linguistic theory; associative, not containment.",1,pending,1.0.0
conferences_meso,cosmology,intellectual_content,religion_philosophy,narrow,Traditional cosmology is doctrinal/philosophical material.,8,pending,1.0.0
conferences_meso,dravidology_south_india,intellectual_content,grammar_linguistics,related,Dravidology includes substantial Dravidian linguistics — overlap without containment (the code also covers non-linguistic regional topics).,63,pending,1.0.0
conferences_meso,dravidology_south_india,intellectual_content,history_culture,narrow,Regional-studies rubric: South-Indian studies under the social-cultural label.,63,pending,1.0.0
conferences_meso,english_literature,intellectual_content,literature_poetics,related,Literature outside the Sanskritic sphere appearing via reception/comparative talks; overlap through literary method only.,2,pending,1.0.0
conferences_meso,epic_ramayana_mahabharata,intellectual_content,literature_poetics,narrow,Epic studies as literary scholarship fall inside the literary-critical rubric.,69,pending,1.0.0
conferences_meso,epic_ramayana_mahabharata,intellectual_content,religion_philosophy,related,"Epic material is also studied as religious literature — genuine overlap, no containment.",69,pending,1.0.0
conferences_meso,ethnography_performance,intellectual_content,history_culture,narrow,"Ethnographic and performance-practice studies fall under the social-cultural rubric as this corpus uses it (historical sociology, cultural practice).",42,pending,1.0.0
conferences_meso,etymology,intellectual_content,grammar_linguistics,narrow,Etymological work is part of historical linguistics.,24,pending,1.0.0
conferences_meso,expeditions,intellectual_content,institutions_field_history,narrow,Expedition history is part of the discipline's own history (the IC label's inclusion names expeditions).,26,pending,1.0.0
conferences_meso,fieldwork,intellectual_content,,unmapped,Method marker duplicated from the L3 medium axis; carries no topical information.,3,pending,1.0.0
conferences_meso,harappan_script,intellectual_content,grammar_linguistics,related,Decipherment work overlaps linguistics; associative.,1,pending,1.0.0
conferences_meso,harappan_script,intellectual_content,manuscripts_epigraphy_material,related,Proposed meso code; script/seal decipherment overlaps epigraphy and material evidence.,1,pending,1.0.0
conferences_meso,himalaya,intellectual_content,history_culture,narrow,Regional-studies code under the social-cultural rubric.,10,pending,1.0.0
conferences_meso,hindi_urdu_new_indo_aryan,intellectual_content,grammar_linguistics,related,NIA-language topics overlap linguistics without containment (the code also covers literary and cultural NIA material).,12,pending,1.0.0
conferences_meso,hindi_urdu_new_indo_aryan,intellectual_content,literature_poetics,related,Hindi/Urdu literary material overlaps the literary rubric; associative only.,12,pending,1.0.0
conferences_meso,history_of_indology,intellectual_content,institutions_field_history,exact,Same concept: the history of the discipline of Indology itself.,59,pending,1.0.0
conferences_meso,indian_mathematics,intellectual_content,history_culture,related,"Proposed meso code; history of Indian mathematics is history-of-science material — overlap with cultural history, no containment.",1,pending,1.0.0
conferences_meso,jain_studies,intellectual_content,religion_philosophy,narrow,Jaina studies inside the religion-and-philosophy rubric.,12,pending,1.0.0
conferences_meso,kashmiri_shaivism,intellectual_content,religion_philosophy,narrow,Proposed meso code; Saiva darsana study proper.,1,pending,1.0.0
conferences_meso,life_cycle_rituals,intellectual_content,religion_philosophy,narrow,Life-cycle ritual (samskara) studies inside the religion rubric (ritual studies).,8,pending,1.0.0
conferences_meso,literary_studies,intellectual_content,literature_poetics,exact,Same concept: literary-critical scholarship.,47,pending,1.0.0
conferences_meso,manuscripts_epigraphy,intellectual_content,manuscripts_epigraphy_material,narrow,"The meso code lacks the material-culture portion of the IC label, so its extension is strictly smaller.",39,pending,1.0.0
conferences_meso,metrics,intellectual_content,grammar_linguistics,related,"Metrical analysis overlaps phonology/linguistics; associative, not containment.",9,pending,1.0.0
conferences_meso,metrics,intellectual_content,literature_poetics,narrow,Chandas/metrics as a poetic-theoretical discipline inside the literary rubric.,9,pending,1.0.0
conferences_meso,modern_literature,intellectual_content,literature_poetics,narrow,Modern-literature studies inside the literary-critical rubric.,27,pending,1.0.0
conferences_meso,modern_society_politics,intellectual_content,history_culture,narrow,Modern social and political history under the same rubric.,31,pending,1.0.0
conferences_meso,museum_collections,intellectual_content,institutions_field_history,related,"Collection histories overlap the history of the field's institutions; the code also covers the objects themselves — overlap, not containment.",28,pending,1.0.0
conferences_meso,museum_collections,intellectual_content,manuscripts_epigraphy_material,related,Museum holdings are material-culture objects; associative overlap with the material-evidence rubric.,28,pending,1.0.0
conferences_meso,nepal_newar_kathmandu,intellectual_content,history_culture,narrow,Regional-studies code under the social-cultural-history rubric.,38,pending,1.0.0
conferences_meso,new_indo_aryan_languages,intellectual_content,grammar_linguistics,narrow,NIA linguistics proper inside the grammar-and-linguistics rubric.,7,pending,1.0.0
conferences_meso,pali_early_buddhism,intellectual_content,religion_philosophy,narrow,Early-Buddhism/Pali studies inside the religion-and-philosophy rubric.,34,pending,1.0.0
conferences_meso,philosophy_epistemology,intellectual_content,religion_philosophy,narrow,Darsana/epistemology work sits inside the religion-and-philosophy rubric.,115,pending,1.0.0
conferences_meso,prosody,intellectual_content,grammar_linguistics,related,Prosodic analysis overlaps phonology; associative.,7,pending,1.0.0
conferences_meso,prosody,intellectual_content,literature_poetics,narrow,Prosody as poetic theory inside the literary rubric.,7,pending,1.0.0
conferences_meso,proto_indian,intellectual_content,history_culture,related,Proposed meso code; proto-Indian/Harappan studies overlap early-history material.,1,pending,1.0.0
conferences_meso,proto_indian,intellectual_content,manuscripts_epigraphy_material,related,Material/archaeological evidence base; associative overlap.,1,pending,1.0.0
conferences_meso,ritual_studies,intellectual_content,religion_philosophy,narrow,Ritual studies are named in the IC label's own inclusion line.,48,pending,1.0.0
conferences_meso,roerich_studies,intellectual_content,institutions_field_history,related,"Roerich-family scholarship and expeditions overlap field history; the code also covers the family's art — overlap, not containment.",9,pending,1.0.0
conferences_meso,roerich_studies,intellectual_content,manuscripts_epigraphy_material,related,Roerich visual art is material/visual-culture evidence; associative overlap.,9,pending,1.0.0
conferences_meso,sanskrit_grammar_panini,intellectual_content,grammar_linguistics,narrow,Paninian grammar studies are a proper part of the grammar-and-linguistics rubric.,50,pending,1.0.0
conferences_meso,shaiva_siddhanta,intellectual_content,religion_philosophy,narrow,Proposed meso code; Saiva-siddhanta doctrine study proper.,1,pending,1.0.0
conferences_meso,sikh_studies,intellectual_content,religion_philosophy,narrow,Sikh-tradition studies inside the religion-and-philosophy rubric.,5,pending,1.0.0
conferences_meso,tibetology_himalaya,intellectual_content,history_culture,narrow,Area-studies rubric: Tibetan/Himalayan regional studies fall under the social-cultural-history label as this corpus uses it.,69,pending,1.0.0
conferences_meso,tibetology_himalaya,intellectual_content,religion_philosophy,related,A large share of Tibetological talks concern Buddhist religion — overlap without containment (the code also covers secular regional topics).,69,pending,1.0.0
conferences_meso,translation_reception,intellectual_content,history_culture,related,"Reception history overlaps cultural-contact history; associative, not containment.",43,pending,1.0.0
conferences_meso,translation_reception,intellectual_content,literature_poetics,related,Translation/reception studies overlap literary scholarship without being contained in it (reception history is also cultural history).,43,pending,1.0.0
conferences_meso,travel_history,intellectual_content,history_culture,narrow,Travel accounts as social/cultural history.,6,pending,1.0.0
conferences_meso,twentieth_century,intellectual_content,,unmapped,Period marker; orthogonal to the topic axis (same reasoning as the L2 period labels).,2,pending,1.0.0
conferences_meso,vaishnava,intellectual_content,religion_philosophy,narrow,Vaisnava-tradition studies inside the religion rubric.,20,pending,1.0.0
conferences_meso,vedic_studies,intellectual_content,religion_philosophy,narrow,Study of Vedic religion and its text corpus falls inside the rubric.,80,pending,1.0.0
