record_id,corpus_id,source_record_id,source_record_id_method,record_type,created_at,period,is_partial_2026,access_class,status,public_title,source_snapshot_id
conferences:PRES_055b23183b,conferences,PRES_055b23183b,native,presentation,2026-05-26,2026-partial,1,public,active,Абхисамаяаланкара: вводная часть,conferences:2026-08-06
conferences:PRES_0b6581f9ff,conferences,PRES_0b6581f9ff,native,presentation,2026-05-26,2026-partial,1,public,active,Синтез сложных слов tatpuruṣa и karmadhāraya в грамматике Панини,conferences:2026-08-06
conferences:PRES_0b6e4e4519,conferences,PRES_0b6e4e4519,native,presentation,2026-05-26,2026-partial,1,public,active,Прамана-вада «Таттва-сандарбхи» Дживы Госвами в оптике неклассической эпистемологии науки,conferences:2026-08-06
conferences:PRES_0ccccd2f0f,conferences,PRES_0ccccd2f0f,native,presentation,2026-05-26,2026-partial,1,public,active,Тело агхори как «живой текст»: визуальность и перформанс в производстве религиозного авторитета,conferences:2026-08-06
conferences:PRES_0ec718e125,conferences,PRES_0ec718e125,native,presentation,2026-05-26,2026-partial,1,public,active,Теория познания в мадхьямаке-сватантрике (по трактату Бхававивеки «Мадхьямака-хридая»),conferences:2026-08-06
conferences:PRES_1637f642c2,conferences,PRES_1637f642c2,native,presentation,2026-05-26,2026-partial,1,public,active,Южноандаманские языки: к вопросу о возможностях внешнего сравнения,conferences:2026-08-06
conferences:PRES_16c469b6c2,conferences,PRES_16c469b6c2,native,presentation,2026-05-26,2026-partial,1,public,active,Непальский вариант Гаруды,conferences:2026-08-06
conferences:PRES_1c157737ea,conferences,PRES_1c157737ea,native,presentation,2026-05-26,2026-partial,1,public,active,"Jati, gotra and marriage system in Haryana: a change in perspective",conferences:2026-08-06
conferences:PRES_1cd8e6e44e,conferences,PRES_1cd8e6e44e,native,presentation,2026-05-26,2026-partial,1,public,active,Дхармакирти о существовании,conferences:2026-08-06
conferences:PRES_2026748a9a,conferences,PRES_2026748a9a,native,presentation,2026-05-26,2026-partial,1,public,active,Индийская философия в свете компаративного подхода Поля Массон-Урселя,conferences:2026-08-06
conferences:PRES_215ed69350,conferences,PRES_215ed69350,native,presentation,2026-05-26,2026-partial,1,public,active,Салман Рушди и русская литература: тайный роман?,conferences:2026-08-06
conferences:PRES_23a87e494f,conferences,PRES_23a87e494f,native,presentation,2026-05-26,2026-partial,1,public,active,Фарс Шанкхадхары «Латакамелака» и ее рукопись из Библиотеки им. Кешара (Катманду),conferences:2026-08-06
conferences:PRES_23cb98206f,conferences,PRES_23cb98206f,native,presentation,2026-05-26,2026-partial,1,public,active,Приветственное слово директора ИВР РАН,conferences:2026-08-06
conferences:PRES_266f877d3f,conferences,PRES_266f877d3f,native,presentation,2026-05-26,2026-partial,1,public,active,Перевод в практике преподавания хинди в средней школе,conferences:2026-08-06
conferences:PRES_2af0d9ba1e,conferences,PRES_2af0d9ba1e,native,presentation,2026-05-26,2026-partial,1,public,active,Ведийский ритуал Праваргья (pravargya): текстовая традиция и ритуальная практика,conferences:2026-08-06
conferences:PRES_2af47bc093,conferences,PRES_2af47bc093,native,presentation,2026-05-26,2026-partial,1,public,active,Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме,conferences:2026-08-06
conferences:PRES_2d9228675d,conferences,PRES_2d9228675d,native,presentation,2026-05-26,2026-partial,1,public,active,Миф о Потопе и тыкве у племен западной Индии,conferences:2026-08-06
conferences:PRES_2ee12546b2,conferences,PRES_2ee12546b2,native,presentation,2026-05-26,2026-partial,1,public,active,Сита и Агни в «Рамаяне» Вальмики,conferences:2026-08-06
conferences:PRES_314bc5bec5,conferences,PRES_314bc5bec5,native,presentation,2026-05-26,2026-partial,1,public,active,Интерпретация идей Упанишад в философском наследии Р. Тагора: религиозная онтология,conferences:2026-08-06
conferences:PRES_32b950f0fe,conferences,PRES_32b950f0fe,native,presentation,2026-05-26,2026-partial,1,public,active,"Средневековая фольклорная формула и литературное клише: образ, мотив",conferences:2026-08-06
conferences:PRES_3f4d3d50e9,conferences,PRES_3f4d3d50e9,native,presentation,2026-05-26,2026-partial,1,public,active,Уроки Герхарда Оберхаммера. По следам перевода книги «Структуры йоговской медитации»,conferences:2026-08-06
conferences:PRES_40d669e631,conferences,PRES_40d669e631,native,presentation,2026-05-26,2026-partial,1,public,active,Александр Михайлович Мерварт: судьба ученого,conferences:2026-08-06
conferences:PRES_4125041435,conferences,PRES_4125041435,native,presentation,2026-05-26,2026-partial,1,public,active,"Огонь, вода и память: погребальные практики сикхов в мультикультурной среде",conferences:2026-08-06
conferences:PRES_422bda6a2b,conferences,PRES_422bda6a2b,native,presentation,2026-05-26,2026-partial,1,public,active,"Востоковед Павел Яковлевич Петров (1814–1875), его библиотека и архив",conferences:2026-08-06
conferences:PRES_43b3dacf96,conferences,PRES_43b3dacf96,native,presentation,2026-05-26,2026-partial,1,public,active,"Санньяса и Брахмалока: смерть, социальная или физическая, как опосредующий этап пути к освобождению в адвайта-веданте",conferences:2026-08-06
conferences:PRES_45a22e8318,conferences,PRES_45a22e8318,native,presentation,2026-05-26,2026-partial,1,public,active,Коннотативные особенности йогической лексики Виджнянабхикшу (на примере комментария к 1.1 «Pātañjalayogaśāstram»),conferences:2026-08-06
conferences:PRES_4f410bea98,conferences,PRES_4f410bea98,native,presentation,2026-05-26,2026-partial,1,public,active,Сон Урмилы в современной индийской прозе,conferences:2026-08-06
conferences:PRES_5112b0355f,conferences,PRES_5112b0355f,native,presentation,2026-05-26,2026-partial,1,public,active,"""Башни с нишами"" в индуизме. Об одном типе храмовых шикхар в архитектуре Чалукьев",conferences:2026-08-06
conferences:PRES_51a9cb36b9,conferences,PRES_51a9cb36b9,native,presentation,2026-05-26,2026-partial,1,public,active,Зачем спорили хэшан Махаяна и Камалашила?,conferences:2026-08-06
conferences:PRES_5327ab9216,conferences,PRES_5327ab9216,native,presentation,2026-05-26,2026-partial,1,public,active,Вера Александровна Новикова (1918-1972) и послевоенная бенгалистика в Ленинграде,conferences:2026-08-06
conferences:PRES_589e161411,conferences,PRES_589e161411,native,presentation,2026-05-26,2026-partial,1,public,active,К истории поступления индийских памятников в Эрмитаж: новые открытия,conferences:2026-08-06
conferences:PRES_6912669e4d,conferences,PRES_6912669e4d,native,presentation,2026-05-26,2026-partial,1,public,active,"Особая священная игра» Гулабрао Махараджа как игровая модель индуистской сотериологии: космология, философия и бхакти",conferences:2026-08-06
conferences:PRES_6a2b1904a8,conferences,PRES_6a2b1904a8,native,presentation,2026-05-26,2026-partial,1,public,active,«Местный колорит» в литературной традиции Ориссы,conferences:2026-08-06
conferences:PRES_6d7c21fb70,conferences,PRES_6d7c21fb70,native,presentation,2026-05-26,2026-partial,1,public,active,«Шри Рамананда-чаритам» Рамбхадрачарьи как образец современной санскритской махакавьи,conferences:2026-08-06
conferences:PRES_6e8842a256,conferences,PRES_6e8842a256,native,presentation,2026-05-26,2026-partial,1,public,active,"Традиция толкования упанишад: контекст, философское значение и интерпретация ключевой фразы «tat tvam asi» («Ты есть то»)",conferences:2026-08-06
conferences:PRES_702d8347a7,conferences,PRES_702d8347a7,native,presentation,2026-05-26,2026-partial,1,public,active,Об одном диафильме В. Чатопадаева из коллекции МАЭ РАН,conferences:2026-08-06
conferences:PRES_717723198b,conferences,PRES_717723198b,native,presentation,2026-05-26,2026-partial,1,public,active,Kumāra: этимология и мифология,conferences:2026-08-06
conferences:PRES_8a20127ede,conferences,PRES_8a20127ede,native,presentation,2026-05-26,2026-partial,1,public,active,Индийское паломничество в сравнительном аспекте,conferences:2026-08-06
conferences:PRES_8aa850a4e6,conferences,PRES_8aa850a4e6,native,presentation,2026-05-26,2026-partial,1,public,active,Предание в тексте и предание в камне: сюжет просветления Будды на рельефе Большой Ступы в Санчи,conferences:2026-08-06
