claim_id,claim_family,allowed_claim,allowed_scope,required_evidence,forbidden_overclaim,minimum_review_artifact,review_status
CLM01,participation_counts,Scholar or series counts describe observed presentations in the indexed Zograf/Roerich archive.,Observed conference archive only.,"Stable presentation IDs, source programme links, and rebuild validation.","Do not infer scholarly importance, productivity, seniority, or career quality from raw counts.",analytics_output/presentation_id_manifest.csv,review
CLM02,institutional_structure,Institutional statements may describe programme affiliations or verified affiliation spans.,Programme metadata and manually verified trajectories only.,Source-backed affiliation span or explicit programme affiliation text.,Do not claim institutional dominance or complete employment history from city labels.,curation/verified_affiliation_spans.csv,review
CLM03,authority_visibility,Authority-ID coverage may be reported as index visibility and disambiguation status.,Local authority coverage audit.,Per-source coverage counts and candidate review queues.,"Do not interpret absence from OpenAlex, RINC, Wikipedia, ORCID, Wikidata, or VIAF as low scholarly productivity.",analytics_output/coverage_bias_audit.csv,review
CLM04,topic_classification,Theme and meso codes are title-derived navigation and hypothesis-support labels.,Presentation titles and reviewed classification samples.,"Classification reliability packet, uncertainty queues, and manual overrides.",Do not present a theme code as a full content analysis of the paper.,analytics_output/classification_reliability_sample.csv,review
CLM05,network_position,Network measures describe positions in explicitly typed observed conference networks.,Chosen edge model and observed archive years.,"Network edge definitions, robustness checks, and sensitivity note.","Do not conflate co-presence, co-presentation, coauthorship, citation, mentorship, or intellectual influence.",analytics_output/network_robustness_checks.csv,review
CLM06,cohort_dynamics,"Cohort statements may describe first observed presentation, return, and absence inside the archive.",Observed participation histories.,"Debut timing, cohort survival, and missingness caveats.","Do not claim employment continuity, career exit, or disciplinary entry/exit without external evidence.",analytics_output/cohort_survival.csv,review
CLM07,video_visibility,Video coverage may describe which talks have known public recordings.,Mapped media records and playlist sources.,"Video list, mapping table, and source notes.","Do not treat recording availability as a status, importance, or quality metric.",analytics_output/video_presentation_mapping.csv,review
CLM08,external_publications,"Publication or citation data may be added only as source-specific, field-aware signals.",Matched external indexes with confidence and field/language caveats.,Author disambiguation dossier and field-normalized indicators.,"Do not compare scholars, generations, or fields using raw works or raw citations.",analytics_output/openalex_author_candidates.csv,review
CLM09,event_ecology,"Conference infrastructure claims may describe sessions, venues, themes, and programme organization when source-backed.",Event/session/venue metadata in parsed programmes.,Event ecology audit and source snippets.,Do not present the two conferences as the whole infrastructure of Russian Indology.,analytics_output/event_ecology_audit.csv,review
CLM10,conference_roles,"Role claims may distinguish presenter, chair, organizer, editor, invited speaker, or memorial subject when the programme says so.",Raw programme role wording and role taxonomy mapping.,Conference role taxonomy and source evidence.,Do not assign credit-like roles from name appearance alone.,analytics_output/conference_role_taxonomy.csv,review
