presentation_id,year,series,title,l1,l2,l3,l4,source,confidence,why
PRES_ceb3b3ba00,2004,Zograf Readings,Деви-гита из Девибхагавата-пураны,religion,medieval,text,fundamental,llm,0.9,"Деви-гита — религиозный текст из пураны, средневековый период."
PRES_630760bcac,2004,Zograf Readings,Психология акта самопожертвования в изображении драматургов 7-го века,literature,classical,text,fundamental,llm,0.85,"Анализ драматургов 7 века, литературное произведение."
PRES_5ec00edd5f,2004,Zograf Readings,Литературные реминисценции в «Гаудавахо» Вакпатираджи,literature,classical,text,fundamental,llm,0.9,Литературные реминисценции в санскритской поэме.
PRES_764a73ce7c,2004,Zograf Readings,Проблема интерпретации специальной санскритской терминологии: термин адхьякша в индийской традиции,philosophy,classical,text,fundamental,llm,0.85,Интерпретация санскритского термина адхьякша в философском контексте.
PRES_7f70e3b9a4,2004,Zograf Readings,Шанкара как критик категорий вайшешики,philosophy,medieval,text,fundamental,llm,0.9,"Шанкара — философ, критика вайшешики."
PRES_6c8531953d,2004,Zograf Readings,Концепция спхоты в «Спхотасиддхи» Манданамишры,philosophy,medieval,text,fundamental,llm,0.9,Концепция спхоты в философском трактате Манданамишры.
PRES_9e203d9b3f,2004,Zograf Readings,О взаимоотношении религиозных конфессий в средневековом Тамилнаде,history,medieval,text,fundamental,llm,0.85,Взаимоотношение религиозных конфессий в средневековом Тамилнаде.
PRES_d2281e2acf,2004,Zograf Readings,О «священной географии» в творчестве Тирунянасамбандара (шиваитский поэтический комплекс «Деварам»),religion,medieval,text,fundamental,llm,0.9,Священная география в шиваитском поэтическом комплексе.
PRES_e793d570a3,2004,Zograf Readings,Буддизм в творчестве Джаяшанкара Прасада,literature,modern,text,fundamental,llm,0.85,Буддизм в творчестве современного писателя хинди.
PRES_5461e391b0,2004,Zograf Readings,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди,literature,modern,text,fundamental,baseline,1.0,
PRES_6e5928cac8,2004,Zograf Readings,Богини и деревья желаний в индуизме Центральных Гималаев,religion,medieval,fieldwork,fundamental,llm,0.8,"Богини и деревья желаний в индуизме Центральных Гималаев — религиозная тема, возможно полевые материалы."
PRES_37a471ecf5,2006,Zograf Readings,К проблеме древнеиндийской хронологии,history,vedic,text,fundamental,llm,0.8,Проблема древнеиндийской хронологии — историческая тема.
PRES_f771f5827d,2006,Zograf Readings,Завершающие строфы «Махабхараты»: лексика и семантика,literature,classical,text,fundamental,llm,0.9,Завершающие строфы Махабхараты — анализ текста эпоса.
PRES_b1d123ee06,2006,Zograf Readings,Тема деревни в «Саттасаи»,literature,classical,text,fundamental,llm,0.9,Тема деревни в Саттасаи — литературный анализ.
PRES_8a6912982a,2006,Zograf Readings,О соотношении санскритского и тибетского текстов «Гимна,tibetology,classical,text,fundamental,llm,0.85,Соотношение санскритского и тибетского текстов гимна — тибетология.
PRES_960adc4efb,2006,Zograf Readings,Вытеснение согласного во избежание возникновения тяжелой группы трех шумных согласных в индоиранском,linguistics,vedic,text,fundamental,llm,0.9,Фонетическое явление в индоиранском — лингвистика.
PRES_6066f65be0,2006,Zograf Readings,Технические приспособления для рубрикации корней в,linguistics,classical,text,fundamental,llm,0.85,"Технические приспособления для рубрикации корней — лингвистика, грамматика."
PRES_dfef1a443f,2006,Zograf Readings,Представления об обществе и власти в «Бхагавата-пуране»,religion,medieval,text,fundamental,llm,0.85,Представления об обществе и власти в Бхагавата-пуране — религиозный текст.
PRES_748beb327e,2006,Zograf Readings,Место «Девибхагавата-пураны» в процессе эволюции шактизма,religion,medieval,text,fundamental,llm,0.9,Место Девибхагавата-пураны в эволюции шактизма — религиозная тема.
