presentation_id,year,series,title,theme_l1,period_l2,gumilyov_level,meso_codes,confidence,review_bucket,review_status,selection_reason,model_rationale,override_reason
PRES_cf87ec3bf9,2012,Roerich Readings,Элементы игровой поэтики в махаянском описании ступеней бодхисаттвы в текстах «Большой Праджняпарамиты»,religion,classical,1,buddhist_studies,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G1,Анализ игровой поэтики в конкретном тексте махаянской традиции,
PRES_ea5d4b869f,2012,Roerich Readings,О тамильском поэтическом жанре каламбахам,literature,classical,1,dravidology_south_india,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G1,Изучение конкретного тамильского поэтического жанра,
PRES_3ea3a39e80,2017,Roerich Readings,Из поэзии на диалектах,literature,modern,1,,0.7,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G1,"Поэзия на диалектах, общая тема, но без конкретики.",
PRES_7a25d6758f,2017,Roerich Readings,Сюжет о Будде в ранних буддийских сакральных текстах,religion,classical,1,buddhist_studies,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G1,"Сюжет о Будде в ранних буддийских сакральных текстах, конкретный сюжет.",
PRES_705d6f4e9c,2020,Roerich Readings,Мотивный анализ сюжета «Джатаки о павлине» Харибхатты (IV–V вв. н.э.),literature,classical,1,literary_studies|buddhist_studies,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G1,"Мотивный анализ сюжета конкретной джатаки, частный кейс.",
PRES_0e52f9db93,2025,Roerich Readings,Об этимологии слова «мангус»,linguistics,unspecified,1,etymology,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G1,Частный кейс: этимология одного слова.,
PRES_646225a03b,2004,Zograf Readings,Опровержение атомизма в трактате Васубандху Виджняптиматратасиддхи («Доказательство единственности сознания»),philosophy,classical,1,buddhist_studies,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G1,"Опровержение атомизма в трактате Васубандху, конкретный текст, уровень L1.",
PRES_cb85e06342,2007,Zograf Readings,В чем непосредственность непосредственного восприятия в буддийской эпистемологии?,philosophy,classical,1,buddhist_studies|philosophy_epistemology,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G1,Вопрос о непосредственном восприятии в буддийской эпистемологии,
PRES_2715b98469,2015,Zograf Readings,Индийская тема в автобиографической книге В. С. Найпола «A Writer's People: Ways of Looking and Feeling»,literature,contemporary,1,modern_literature,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G1,Анализ индийской темы в одной книге.,
PRES_f137ba2a62,2020,Zograf Readings,Разрази его гром! Метеорологические явления в песенном фольклоре на диалектах хинди Центральной Индии,literature,modern,1,ethnography_performance|hindi_urdu_new_indo_aryan,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G1,"Конкретный фольклорный материал на диалектах хинди, частный кейс.",
PRES_2b0af07002,2021,Zograf Readings,Проблемы датировки «Нандикешваракашики»*,literature,classical,1,sanskrit_grammar_panini,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G1,"Заголовок посвящен датировке конкретного текста, что является частным кейсом.",
PRES_40d669e631,2026,Zograf Readings,Александр Михайлович Мерварт: судьба ученого,history,colonial,1,history_of_indology,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Zograf Readings G1,"Биография ученого, частный кейс.",
PRES_4b995fc30a,2010,Roerich Readings,Место и значение хронологии и генеалогии в санскритских текстах,history,classical,2,sanskrit_grammar_panini,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G2,"Обобщение о хронологии и генеалогии в санскритских текстах в целом — это L2, так как охватывает класс текстов.",
PRES_42588a671c,2012,Roerich Readings,Ю. Рерих о роли буддизма в культурном единстве Азии,religion,modern,2,roerich_studies|buddhist_studies,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G2,"Заголовок обещает обобщение о роли буддизма в культурном единстве Азии, что охватывает целый регион и традицию. Это соответствует L2.",
PRES_cf88b0bf9e,2012,Roerich Readings,К проблеме складывания сикхского двора и придворной культуры при последних шести гуру,history,colonial,2,colonial_encounters|sikh_studies,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G2,"Заголовок обещает обобщение о складывании сикхского двора и придворной культуры, что охватывает исторический процесс в рамках одной традиции. Это L2.",
PRES_1d811c4689,2019,Roerich Readings,Ю.Н. Рерих и история индологии в России,history,modern,2,history_of_indology|roerich_studies,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G2,"Заголовок обещает историю индологии в России, что является обзором целой дисциплины в рамках одной страны. Это региональный процесс, L2.",
PRES_e41ac61c54,2019,Roerich Readings,Поэтические формы средневекового тамильского бхакти,literature,medieval,2,bhakti_vaishnava,0.9,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G2,"Заголовок обещает обзор поэтических форм целой традиции (средневековое тамильское бхакти). Это обобщение о традиции, L2.",
PRES_3b994db7ef,2023,Roerich Readings,Исследования древнеиндийских текстов как ключевое направление в ранней японской буддологии,religion,modern,2,buddhist_studies|history_of_indology,0.8,stratified_series_level,queued_for_manual_review,deterministic sample from Roerich Readings G2,"Заголовок обещает обобщение о направлении в японской буддологии (исследования древнеиндийских текстов). Это обобщение уровня традиции, L2 верен.",
