presentation_id,event_id,year,series,title,l1,l1_conf,l2,l2_conf,l3,l3_conf,l4,l4_conf
PRES_920f42a4,E2004,2004,Zograf Readings,Деви-гита из Девибхагавата-пураны,,0.0,,0.0,,0.0,fundamental,0.0
PRES_d22a4e6a,E2004,2004,Zograf Readings,Психология акта самопожертвования в изображении драматургов 7-го века,,0.0,,0.0,,0.0,fundamental,0.0
PRES_9f6be07a,E2004,2004,Zograf Readings,Литературные реминисценции в «Гаудавахо» Вакпатираджи,literature,1.0,,0.0,,0.0,fundamental,0.0
PRES_a831b4b9,E2004,2004,Zograf Readings,Проблема интерпретации специальной санскритской терминологии: термин адхьякша в индийской традиции,linguistics,1.0,,0.0,,0.0,fundamental,0.0
PRES_ac8a171c,E2004,2004,Zograf Readings,Шанкара как критик категорий вайшешики,philosophy,1.0,classical,1.0,,0.0,fundamental,0.0
PRES_091df98c,E2004,2004,Zograf Readings,Концепция спхоты в «Спхотасиддхи» Манданамишры,,0.0,,0.0,,0.0,fundamental,0.0
PRES_08ae0d5f,E2004,2004,Zograf Readings,О взаимоотношении религиозных конфессий в средневековом Тамилнаде,,0.0,medieval,1.0,,0.0,fundamental,0.0
PRES_c7ed4157,E2004,2004,Zograf Readings,О «священной географии» в творчестве Тирунянасамбандара (шиваитский поэтический комплекс «Деварам»),philosophy,0.85,,0.0,,0.0,fundamental,0.0
PRES_8e72d8e9,E2004,2004,Zograf Readings,Буддизм в творчестве Джаяшанкара Прасада,religion,1.0,classical,1.0,,0.0,fundamental,0.0
PRES_23fcc75e,E2004,2004,Zograf Readings,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди,literature,1.0,modern,1.0,text,1.0,fundamental,0.0
PRES_fffc5305,E2004,2004,Zograf Readings,Богини и деревья желаний в индуизме Центральных Гималаев,religion,1.0,,0.0,,0.0,fundamental,0.0
