year,meso_code,label,count,presentations,share
2004,buddhist_studies,Буддийские традиции,1,28,0.0357
2004,philosophy_epistemology,Философия и эпистемология,1,28,0.0357
2004,vedic_studies,Ведийские исследования,2,28,0.0714
2004,tibetology_himalaya,Тибетология / гималайский контур,1,28,0.0357
2004,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,2,28,0.0714
2004,comparative_analysis,Сравнительный анализ,0,28,0.0
2004,dravidology_south_india,Дравидология / южноиндийский контур,3,28,0.1071
2004,history_of_indology,История индологии,0,28,0.0
2004,_unclassified,без meso-кода,5,28,0.1786
2006,buddhist_studies,Буддийские традиции,3,28,0.1071
2006,philosophy_epistemology,Философия и эпистемология,2,28,0.0714
2006,vedic_studies,Ведийские исследования,2,28,0.0714
2006,tibetology_himalaya,Тибетология / гималайский контур,1,28,0.0357
2006,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,4,28,0.1429
2006,comparative_analysis,Сравнительный анализ,1,28,0.0357
2006,dravidology_south_india,Дравидология / южноиндийский контур,0,28,0.0
2006,history_of_indology,История индологии,0,28,0.0
2006,_unclassified,без meso-кода,3,28,0.1071
2007,buddhist_studies,Буддийские традиции,5,29,0.1724
2007,philosophy_epistemology,Философия и эпистемология,3,29,0.1034
2007,vedic_studies,Ведийские исследования,1,29,0.0345
2007,tibetology_himalaya,Тибетология / гималайский контур,1,29,0.0345
2007,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,1,29,0.0345
2007,comparative_analysis,Сравнительный анализ,1,29,0.0345
2007,dravidology_south_india,Дравидология / южноиндийский контур,3,29,0.1034
2007,history_of_indology,История индологии,0,29,0.0
2007,_unclassified,без meso-кода,7,29,0.2414
2008,buddhist_studies,Буддийские традиции,6,45,0.1333
2008,philosophy_epistemology,Философия и эпистемология,3,45,0.0667
2008,vedic_studies,Ведийские исследования,4,45,0.0889
2008,tibetology_himalaya,Тибетология / гималайский контур,1,45,0.0222
2008,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,3,45,0.0667
2008,comparative_analysis,Сравнительный анализ,1,45,0.0222
2008,dravidology_south_india,Дравидология / южноиндийский контур,1,45,0.0222
2008,history_of_indology,История индологии,1,45,0.0222
2008,_unclassified,без meso-кода,8,45,0.1778
2009,buddhist_studies,Буддийские традиции,7,51,0.1373
2009,philosophy_epistemology,Философия и эпистемология,4,51,0.0784
2009,vedic_studies,Ведийские исследования,4,51,0.0784
2009,tibetology_himalaya,Тибетология / гималайский контур,2,51,0.0392
2009,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,5,51,0.098
2009,comparative_analysis,Сравнительный анализ,6,51,0.1176
2009,dravidology_south_india,Дравидология / южноиндийский контур,1,51,0.0196
2009,history_of_indology,История индологии,1,51,0.0196
2009,_unclassified,без meso-кода,6,51,0.1176
2010,buddhist_studies,Буддийские традиции,10,57,0.1754
2010,philosophy_epistemology,Философия и эпистемология,5,57,0.0877
2010,vedic_studies,Ведийские исследования,3,57,0.0526
2010,tibetology_himalaya,Тибетология / гималайский контур,4,57,0.0702
2010,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,4,57,0.0702
2010,comparative_analysis,Сравнительный анализ,4,57,0.0702
2010,dravidology_south_india,Дравидология / южноиндийский контур,4,57,0.0702
2010,history_of_indology,История индологии,1,57,0.0175
2010,_unclassified,без meso-кода,4,57,0.0702
2011,buddhist_studies,Буддийские традиции,6,34,0.1765
2011,philosophy_epistemology,Философия и эпистемология,2,34,0.0588
2011,vedic_studies,Ведийские исследования,2,34,0.0588
2011,tibetology_himalaya,Тибетология / гималайский контур,1,34,0.0294
2011,epic_ramayana_mahabharata,Эпосы: Рамаяна и Махабхарата,3,34,0.0882
2011,comparative_analysis,Сравнительный анализ,2,34,0.0588
2011,dravidology_south_india,Дравидология / южноиндийский контур,2,34,0.0588
2011,history_of_indology,История индологии,0,34,0.0
2011,_unclassified,без meso-кода,5,34,0.1471
2012,buddhist_studies,Буддийские традиции,12,69,0.1739
2012,philosophy_epistemology,Философия и эпистемология,7,69,0.1014
