keyword,label,status,reason,presentations,zograf,roerich,examples
индия,индия,hidden,слишком общий региональный маркер,181,130,51,Индийское паломничество в сравнительном аспекте | По следам Петербуржца в Индии: путешествие князя Салтыкова | Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Сон Урмилы в современной индийской прозе
текст,текст,hidden,слишком общий источниковедческий маркер,110,64,46,Предание в тексте и предание в камне: сюжет просветления Будды на рельефе Большой Ступы в Санчи | Тело агхори как «живой текст»: визуальность и перформанс в производстве религиозного авторитета | Окна в иной мир: изобразительные тексты и линия жизни индийской художницы-парси Катаюн Саклат (1938- 2026): антропологический взгляд | Проблемы изучения традиционного индийского текста «Абхисамая-аланкара» (на тибетском языке)
буддизм,буддизм,public,предметный термин,95,58,37,"Наука абхидхармы в буддийской ментальной традиции средневековой Индии | Сесил Бендалл как публикатор буддийских письменных памятников | Начальный сюжет в житийной литературе раннего буддизма, его вариативность и смысловое наполнение | Формульное выражение yāvatī yānasya bhūmis в буддийских канонических текстах"
традиция,традиция,hidden,слишком общий дисциплинарный маркер,76,36,40,"«Местный колорит» в литературной традиции Ориссы | Традиция толкования упанишад: контекст, философское значение и интерпретация ключевой фразы «tat tvam asi» («Ты есть то») | Ведийский ритуал Праваргья (pravargya): текстовая традиция и ритуальная практика | Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме"
санскрит,санскрит,public,предметный термин,66,38,28,«Шри Рамананда-чаритам» Рамбхадрачарьи как образец современной санскритской махакавьи | Зачем в санскрите три прошедших времени? | Планиметрические модели тела человека в санскритских трактатах по искусству и в стенописи Аджанты | Микушевич как переводчик санскритской поэзии
язык,язык,public,предметный термин,61,37,24,Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Южноандаманские языки: к вопросу о возможностях внешнего сравнения | Лексика языка куллуи: этимологии 2026 года | Пословицы и поговорки Индии и России как аспект межкультурной коммуникации (проектная деятельность на уроках языка хинди)
философия,философия,hidden,слишком общий дисциплинарный маркер,54,43,11,"Индийская философия в свете компаративного подхода Поля Массон-Урселя | Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме | Интерпретация идей Упанишад в философском наследии Р. Тагора: религиозная онтология | Особая священная игра» Гулабрао Махараджа как игровая модель индуистской сотериологии: космология, философия и бхакти"
история,история,hidden,слишком общий дисциплинарный маркер,50,31,19,Паришишты как исторический источник: проблемы датировки и классификации поздневедийской ритуальной литературы | К истории поступления индийских памятников в Эрмитаж: новые открытия | Миф о Потопе и тыкве у дравидийских племен: к вопросу об истории контактов дравидов и мунда | Исторические и историографические особенности монгольской летописи начала XVIII в.: Гомбоджаб. «Течение Ганга»
образ,образ,hidden,слишком общее аналитическое слово,49,32,17,"Средневековая фольклорная формула и литературное клише: образ, мотив | Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме | Образ вишаканья в художественной культуре древней и средневековой Индии | От демоницы к мстительнице: Переосмысление образа ведьмы в современном индийском кинематографе"
литература,литература,hidden,слишком общий дисциплинарный маркер,47,30,17,"Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Салман Рушди и русская литература: тайный роман? | Средневековая фольклорная формула и литературное клише: образ, мотив | «Местный колорит» в литературной традиции Ориссы"
поэзия,поэзия,public,предметный термин,46,30,16,Образ времени в поэзии Бхартрихари | «Наука поэзии» (Кавьяшастра) в трудах ранних аланкариков | Микушевич как переводчик санскритской поэзии | Тема угона скота (veṭci) в древнетамильской поэзии и литературной теории
тибет,тибет,public,предметный термин,39,17,22,"Проблемы изучения традиционного индийского текста «Абхисамая-аланкара» (на тибетском языке) | Отношения между государством Корё и Тибетом в эпоху Юань (конец XIII – начало XIV вв.) | Трактат Марко Паллиса, предостерегающий Тибет о последствиях Кали-юги (об атрибутировании и содержании тибетского ксилографа из Архива музея Рерихов (Филиал Государственного музея Востока)) | Санскритский перевод одного тибетского текста"
тамильский,тамильский,public,предметный термин,35,20,15,О семантических переходах с участием терминов родства в старотамильском языке | Kaṇita Caturam 108: тамильский числовой квадрат из храма Натараджи в Чидамбараме | Список тамильских каст у Бартоломеуса Цигенбальга: книжная традиция vs историческая реальность | Коллекция тамильских рукописей М.С. Андреева из Индийского фонда ИВР РАН
перевод,перевод,public,предметный термин,32,19,13,Перевод в практике преподавания хинди в средней школе | Уроки Герхарда Оберхаммера. По следам перевода книги «Структуры йоговской медитации» | Анализ переводов М. Зощенко на хинди и на бенгали с помощью метрик readability | Проблемы реконструкции системы йоги Патанджали на основе переводов «корневого» текста «Йога-сутр» и толкования Бходжи («Rājamārtaṇḍa»)
ведийский,ведийский,public,предметный термин,31,24,7,"Ведийский ритуал Праваргья (pravargya): текстовая традиция и ритуальная практика | Ведийский гапакс batá- и частица bata / vata: семантика, контекст, этимология | Мантры в ведийских шраута-ритуалах. | Ведийское vrā́- «барышня» (?): Этимология, семантика, контекст."
древнеиндийский,древнеиндийский,hidden,слишком общий регионально-хронологический маркер,31,16,15,Имперфект в древнеиндийском эпосе | Новые древнеиндийские праформы на материале этимологий лексики языка куллуи | О понятиях «канон» и «классика» в контексте древнеиндийской литературы | Похищение и возвращение жён в древнеиндийском эпосе и параллели в древнегреческих сюжетах
средневековый,средневековый,hidden,слишком общий хронологический маркер,30,12,18,"Средневековая фольклорная формула и литературное клише: образ, мотив | Наука абхидхармы в буддийской ментальной традиции средневековой Индии | Образ вишаканья в художественной культуре древней и средневековой Индии | Роль персоязычных версий индийских текстов в формировании средневековой тюркоязычной литературы Южного Кавказа (на примере памятника «Калила и Димна»)"
источник,источник,hidden,слишком общий источниковедческий маркер,29,14,15,Паришишты как исторический источник: проблемы датировки и классификации поздневедийской ритуальной литературы | Индийские истоки и источники философствования Р. Тагора: «Садхана» как опыт объяснения Своего Другому | Чанпинская битва 260 г. до н.э.: когда встречаются источники и археология | Этнорелигиозная картина уйгуров по китайским источникам XIV-XIX вв
контекст,контекст,hidden,методическое слово без предметной привязки,29,20,9,"Традиция толкования упанишад: контекст, философское значение и интерпретация ключевой фразы «tat tvam asi» («Ты есть то») | Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили | Социально-политический контекст романов Даймонд Шамшера Рана | О понятиях «канон» и «классика» в контексте древнеиндийской литературы"
современный,современный,hidden,слишком общий хронологический маркер,29,24,5,«Шри Рамананда-чаритам» Рамбхадрачарьи как образец современной санскритской махакавьи | Сон Урмилы в современной индийской прозе | Према Рамаяна и Шри Ситарама-чаритра-дарпана как примеры Рамаян XX века в контексте современной литературы на бходжпури и майтхили | Что такое тантра? К вопросу об определении тантры/тантризма в современной тантрологии
ритуал,ритуал,public,предметный термин,28,16,12,Ведийский ритуал Праваргья (pravargya): текстовая традиция и ритуальная практика | Сикхи в диаспоре: ритуалы детства | Мадхупарка при жертвоприношениях сомы в ритуале Атитхьешти (ātithyeṣṭi) | Ритуал приема почетного гостя при жертвоприношениях сомы
будда,будда,public,предметный термин,27,14,13,Предание в тексте и предание в камне: сюжет просветления Будды на рельефе Большой Ступы в Санчи | Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме | Будда Дипанкара и традиция его почитания в Долине Катманду | Значение иконографии Будды Мучилинды в культуре и искусстве Кхмерской империи XII–XIII вв
древний,древний,hidden,слишком общий хронологический маркер,27,9,18,Образ вишаканья в художественной культуре древней и средневековой Индии | Выкуп невесты (śulka) в Древней Индии: шастрическая и эпическая традиции | Воссоздавая историю древней Индии: исследовательский опыт Раджендролала Митро | Феномен в jalacārin в архитектуре храмов Карнатаки древних и средних веков
сюжет,сюжет,hidden,слишком общее аналитическое слово,27,20,7,"Предание в тексте и предание в камне: сюжет просветления Будды на рельефе Большой Ступы в Санчи | Начальный сюжет в житийной литературе раннего буддизма, его вариативность и смысловое наполнение | Павакутху Кералы: артисты и основные сюжеты, мифо-ритуальные истоки исполнительских традиций | Бодхисаттва — стрелок из лука. Буддийский сюжет и его аналоги"
культура,культура,hidden,слишком общий дисциплинарный маркер,26,11,15,Образ вишаканья в художественной культуре древней и средневековой Индии | Значение иконографии Будды Мучилинды в культуре и искусстве Кхмерской империи XII–XIII вв | Этимология и семантика цветообозначения «черный» в культуре Китая | Этимология и семантика цветообозначения «красный» в китайской культуре
новый,новый,hidden,оценочное или служебное слово заголовка,26,20,6,К истории поступления индийских памятников в Эрмитаж: новые открытия | Возвращаясь к третьей книге Махабхараты: новый взгляд | Новые древнеиндийские праформы на материале этимологий лексики языка куллуи | Комментарии Б. Н. Пандита на «Шивасутры»: новый взгляд на коренной текст трики
юрий_рерих,юрий_рерих,public,предметный термин,26,0,26,"Вклад Ю.Н. Рериха в историю российских экспедиций в Центральную Азию. К 100-летию начала Центрально-Азиатской экспедиции Н.К. Рериха | Некоторые тхангка из коллекции Ю.Н. Рериха (Новые исследования) | Ю.Н. Рерих о происхождении монгольской письменности | О письмах Ю.Н. Рериха из коллекции Д. Тарчина (Колумбийский университет, Нью-Йорк, США)"
бенгальский,бенгальский,public,предметный термин,24,24,0,Анализ переводов М. Зощенко на хинди и на бенгали с помощью метрик readability | Бенгальский стихотворный размер пояр и его разновидности | Три системы бенгальского стихосложения | Образы тигра и рыбы в бенгальской фразеологии
религия,религия,hidden,слишком общий дисциплинарный маркер,24,16,8,"Интерпретация идей Упанишад в философском наследии Р. Тагора: религиозная онтология | Тело агхори как «живой текст»: визуальность и перформанс в производстве религиозного авторитета | Культ корзины у гондов, джайнская икона аягапатта и буддийский алтарь: еще раз о смене религиозной парадигмы в Древней Индии | Культ корзины в Древней Индии и смена религиозной парадигмы"
концепция,концепция,hidden,слишком общее аналитическое слово,23,15,8,"Арьядэва и Чандракирти о концепции anātma | Отражение концепции ""нисходящего времени"" (descending time) в Катха Упанишаде | Рождение концепции иконографии Шивы Натараджи в скульптуре пещерных храмов Южной Индии | Поздний Р.Тагор и «Бхагавадгита»: переосмысляя концепцию о долге"
миф,миф,public,предметный термин,23,20,3,"Миф о Потопе и тыкве у племен западной Индии | Яйцо, курица и Тримурти: миф о Шакти в фольклоре мадига | Миф о Потопе и тыкве у дравидийских племен: к вопросу об истории контактов дравидов и мунда | Бхеру-джи и мать Кали в деревенском Раджастхане: мифы, культ, фольклор"
коллекция,коллекция,public,предметный термин,22,13,9,"Об одном диафильме В. Чатопадаева из коллекции МАЭ РАН | Некоторые тхангка из коллекции Ю.Н. Рериха (Новые исследования) | О письмах Ю.Н. Рериха из коллекции Д. Тарчина (Колумбийский университет, Нью-Йорк, США) | Вспомнить все: ганджифа и забытая карточная игра «Сидаста» из коллекции А.М. и Л.А. Мервартов"
ранний,ранний,hidden,слишком общий хронологический маркер,22,13,9,"Начальный сюжет в житийной литературе раннего буддизма, его вариативность и смысловое наполнение | «Наука поэзии» (Кавьяшастра) в трудах ранних аланкариков | Исследования древнеиндийских текстов как ключевое направление в ранней японской буддологии | Формирование понятия пустоты в ранней махаяне"
