presentation_id,title,year,series,coder_2_l1,coder_2_g,existing_l1,existing_g
PRES_e379735ba8,Текущие переводческие проекты Фонда «Сохраним Тибет!» и изд-ва «Нартанг»,2020,Zograf Readings,,,unspecified,1
PRES_5280e823e7,Специфика восприятия и интерпретации моголами древнеиндийской эпической литературы,2013,Roerich Readings,,,history_and_culture,1
PRES_a0ad164252,Британское колониальное чиновничество в литературном наследии Дж. Оруэлла,2019,Zograf Readings,,,history_and_culture,1
PRES_f978f939da,О звуковом составе ведийского текста,2013,Zograf Readings,,,linguistics_and_philology,1
PRES_de1aae4943,Значение иконографии Будды Мучилинды в культуре и искусстве Кхмерской империи XII–XIII вв,2025,Roerich Readings,,,art_and_material_culture,1
PRES_fc5fc5500b,12-летний животный цикл. К вопросу об истоках,2012,Roerich Readings,,,religion_and_philosophy,1
PRES_5f75a74856,Об особенностях индийской философии на основе южноазиатской схемы рациональности,2023,Zograf Readings,,,religion_and_philosophy,3
PRES_69020aec6c,"К анализу стиха Ригведа 1.120.11, или Предварительные заметки о ведийском автомобиле",2020,Roerich Readings,,,literature_and_poetry,1
PRES_a0af113263,Китайские переводы ранних буддийских сутр: возможности реконструкции истории индийского текста,2016,Roerich Readings,,,religion_and_philosophy,2
PRES_73a0d9241a,Вьявахара как универсум установления достоверности знания в индийской эпистемологии и логике (праманаваде),2018,Zograf Readings,,,religion_and_philosophy,2
PRES_d6fac606b5,Эпитеты Будды в тексте «Аджатасена-вьякараны»,2013,Zograf Readings,,,religion_and_philosophy,1
PRES_f771f5827d,Завершающие строфы «Махабхараты»: лексика и семантика,2006,Zograf Readings,,,literature_and_poetry,1
PRES_4be1348822,Рерих и проблема истории тохар,2016,Roerich Readings,,,history_and_culture,2
PRES_71a1ef7771,Особенности представлений о творении вселенной и ее истории в пуранах,2021,Roerich Readings,,,religion_and_philosophy,2
PRES_7921400a74,Зороастрийский культ огня и ритуалы парсов Индии,2021,Roerich Readings,,,religion_and_philosophy,1
PRES_c245e46b6e,Сакральная география Бодхгаи и текстовая традиция,2015,Roerich Readings,,,religion_and_philosophy,1
PRES_f6fa058fc3,Полисемия в области терминологии родства – дравидийские и индоарийские языки,2022,Roerich Readings,,,linguistics_and_philology,2
PRES_bfeac6bacd,Дворец небесный и дворец земной: две схожие главы  «Лалитавистары» и их функциональная роль в общей композиции текста,2023,Zograf Readings,,,literature_and_poetry,1
PRES_b9b432befc,Животный мир пословиц и поговорок хинди,2014,Zograf Readings,,,linguistics_and_philology,1
PRES_c3d9648c21,Опыт построения словаря-тезауруса древнеиндийской лингвистической терминологии (на материале грамматики Панини)*,2021,Zograf Readings,,,linguistics_and_philology,1
PRES_5b9c7fa5b6,Санскритизация и философские проблемы языковой политики,2011,Zograf Readings,,,linguistics_and_philology,2
PRES_6c278c000a,Несколько замечаний о введении и первой части «Тирумантирама»,2022,Roerich Readings,,,religion_and_philosophy,1
PRES_81e4f6fe0b,Об изучении четвертой главы «Абхисамая-аланкары»,2011,Zograf Readings,,,religion_and_philosophy,1
PRES_0f8aeee7b2,Музыкальные колонны Южной Индии,2019,Roerich Readings,,,art_and_material_culture,1
PRES_517c404931,Описание Индии в средневековых ирландских источниках,2012,Roerich Readings,,,history_and_culture,1
PRES_0bf7d4caad,Адиваси. Загадочное племя тода,2026,Zograf Readings,,,history_and_culture,1
PRES_9aff1006ae,"Вратьи и чакравартины: образ Миродержца в Древней Индии в палийских, санскритских и ведийских источниках",2018,Roerich Readings,,,religion_and_philosophy,1
PRES_64d8c34063,О «новых» теориях действия в грамматических трудах Нагеши Бхатты*,2021,Zograf Readings,,,linguistics_and_philology,1
PRES_a95408ba26,Феномен речевого сбоя как средство художественной выразительности в структуре классической санскритской драмы,2020,Roerich Readings,,,literature_and_poetry,1
PRES_1bc9e61177,"Ведийское vrā́- «барышня» (?): Этимология, семантика, контекст.*",2022,Zograf Readings,,,linguistics_and_philology,1
PRES_0ab3c85533,Легенда о рыбаке (на ирландском языке),2017,Roerich Readings,,,literature_and_poetry,1
PRES_58b20ea2d8,(Великобритания). Сюжеты религиозного обращения в палийской и средневековой ирландской литературе. Нарративная традиция,2010,Roerich Readings,,,literature_and_poetry,1
PRES_42c1647dee,Как уложить пять формул в одну строфу? «Архивирующие» возможности санскрита в математических сочинениях средневековой Индии,2019,Roerich Readings,,,religion_and_philosophy,1
PRES_c82fd78b93,"Серайкела, Майюрбхандж, Пурулиа: феномен чхау на плато Чхота Нагпур (Восточная Индия)",2019,Zograf Readings,,,history_and_culture,1
PRES_7ea08762c7,Буддизм и война: исторический обзор,2022,Zograf Readings,,,religion_and_philosophy,2
PRES_f96bc067a5,Формулы и заимствования в средневековой лирике бхакти,2018,Zograf Readings,,,literature_and_poetry,2
PRES_3aae77ecaf,Христианская книга Индийского субконтинента XVI—XIX вв,2016,Zograf Readings,,,history_and_culture,2
PRES_54207a1735,«Казаклык как социальное явление»,2010,Roerich Readings,,,history_and_culture,1
PRES_77c95981ae,Миф о сожжении Трипуры  на перекрестках ведийской и эпической традиции,2016,Roerich Readings,,,religion_and_philosophy,2
PRES_3faf9b7b24,Сюжет о Трите:  этноисторическая основа,2004,Zograf Readings,,,literature_and_poetry,1
PRES_46601a7245,Некоторые структурные особенности пролога классической санскритской драмы»*,2021,Zograf Readings,,,literature_and_poetry,1
PRES_2cd66465a6,Интерпретация канонической типологии архатов в буддийских экзегетических источниках,2021,Zograf Readings,,,religion_and_philosophy,1
PRES_b948e24a8b,«Бахиранга-парибхаша»: последнее слово за Нагоджибхаттой или Бронкхорстом?,2022,Zograf Readings,,,religion_and_philosophy,1
PRES_f60e19e1b7,О некоторых принципах тамильской поэтики по антологии «Наджиней»,2008,Roerich Readings,,,literature_and_poetry,1
PRES_89e97978bb,Ритуал приема почетного гостя при жертвоприношениях сомы,2023,Roerich Readings,,,religion_and_philosophy,1
PRES_19d3632a7e,Искусство мастеров-потуа: новые сюжеты в традиционном исполнении,2016,Zograf Readings,,,art_and_material_culture,1
PRES_4341e890df,Пример использования парибхаш при прочтении сутр Панини,2020,Zograf Readings,,,linguistics_and_philology,1
PRES_0c60ccad75,Новое о Герасиме Лебедеве,2010,Roerich Readings,,,history_and_culture,1
PRES_0b727f138c,Словесные фигуры и принцип «непрямого высказывания» (вакрокти) в средневековой поэтике,2011,Zograf Readings,,,literature_and_poetry,1
PRES_f8dfe74eae,Голод в Бенгалии 1943 года и его отражение в творчестве индийских художников,2026,Zograf Readings,,,history_and_culture,1
PRES_53f8bd860a,«Рагхуванша» Калидасы глазами тамилиста,2010,Zograf Readings,,,literature_and_poetry,1
PRES_73e8c6e787,"«Мудрость незапятнанная, окруженная свитой...». О структуре определения термина «abhidharma» в «Абхидхармакошабхашье» Васубандху",2017,Zograf Readings,,,religion_and_philosophy,1
PRES_e8321634be,Калмаки в литературе и искусстве могольской Индии,2025,Roerich Readings,,,literature_and_poetry,1
PRES_daaacd2c46,О предмете индийской философии,2019,Zograf Readings,,,religion_and_philosophy,2
PRES_415fb1eb4c,Степные кочевники – иранцы II тыс. до н. э. – I тыс. н. э. и их языки,2008,Roerich Readings,,,history_and_culture,2
PRES_bafd1e3979,Живая традиция ритуальных росписей Питхоро в Гуджарате: полевые данные 2012 г,2012,Zograf Readings,,,history_and_culture,1
PRES_4f8af0d986,«Саттрия: опыт создания классического танца в современном Ассаме»,2010,Roerich Readings,,,art_and_material_culture,1
PRES_ce7644969b,«Сумеречный язык» в поэзии тамильских сиддхов,2019,Zograf Readings,,,literature_and_poetry,1
PRES_be992f88b7,Новый роман Салмана Рушди «Кишот» и его индийская составляющая,2022,Zograf Readings,,,literature_and_poetry,1
PRES_da938d5fcc,Проблема индианизации колониальной армии на страницах индийской прессы в 1910-х — 1940-х годах,2025,Zograf Readings,,,history_and_culture,1
PRES_03edd31e02,Приветственное слово директора ИВР РАН,2021,Zograf Readings,,,unspecified,1
PRES_ea0097faa8,Китайские переводы Лалитавистары как источник по истории текста,2010,Roerich Readings,,,literature_and_poetry,1
PRES_77d4fd8170,К интерпретации термина намарупа в тхеравадинской комментаторской литературе,2009,Roerich Readings,,,religion_and_philosophy,1
PRES_a67d45cc5a,К идентификации тантрических изображений Ямантаки в монастыре Юнъань-сы 永安寺 провинции Шаньси 山西省,2024,Roerich Readings,,,art_and_material_culture,1
PRES_d5cc6c0374,К вопросу о сюжетных и стилистических истоках ранних приключенческих романов на хинди,2006,Zograf Readings,,,literature_and_poetry,1
PRES_575e445638,Жанр послания в религиозной поэзии,2017,Zograf Readings,,,literature_and_poetry,2
PRES_485b7b3478,Осел/бык в индоиранской картине мира,2012,Zograf Readings,,,religion_and_philosophy,2
PRES_aaee698889,Жизнеописание праведного царя Ашоки в индийских и тайских источниках,2006,Zograf Readings,,,history_and_culture,1
PRES_fcdae5394d,Этнокультурные особенности «Тибетско-русско-английского словаря с санскритскими параллелями» Ю.Н. Рериха,2018,Roerich Readings,,,linguistics_and_philology,1
PRES_41b4c6fe83,Комментарий к комментарию (Г.С.Лебедев и культурная жизнь Калькутты в 1790-х годах),2006,Zograf Readings,,,history_and_culture,1
PRES_c3dcf66fa9,Учение санкхьи в «Брихадараньяка-упанишаде»,2025,Zograf Readings,,,religion_and_philosophy,1
