presentation_id,tags
PRES_ceb3b3ba00,девить|девибхагават|пурана
PRES_630760bcac,психология|самопожертвование|акт
PRES_5ec00edd5f,реминисценция|литературный
PRES_764a73ce7c,терминология|термин|интерпретация
PRES_7f70e3b9a4,вайшешик|категория|шанкара
PRES_6c8531953d,спхота|концепция
PRES_9e203d9b3f,взаимоотношение|религиозный|средневековый
PRES_d2281e2acf,комплекс|география|шиваитский
PRES_e793d570a3,творчество|буддизм
PRES_5461e391b0,проза|хинди|сюжет
PRES_6e5928cac8,дерево|гималаи|богиня
PRES_37a471ecf5,древнеиндийский
PRES_f771f5827d,завершать|строфа|лексика
PRES_b1d123ee06,деревня
PRES_8a6912982a,соотношение|гимн|тибетский
PRES_960adc4efb,группа|три|индоиранский
PRES_6066f65be0,технический|корень
PRES_dfef1a443f,бхагават|власть|общество
PRES_748beb327e,место|девибхагават|эволюция
PRES_77b298a44b,текст|рельеф|вербальный
PRES_74c89353ef,идеологический|царь|дхарма
PRES_b4e17e6e33,наблюдение|индо
PRES_20910e0f90,способ|один|древнеиндийский
PRES_fcd64d09ac,специфический|фольклорный|версия
PRES_933f4317bd,каста|представитель|особенность
PRES_80ebdc8f23,тара|демонстрация|видеоматериал
PRES_41b4c6fe83,комментарий|лебедев|калькутта
PRES_409770d89b,упанишад|тагора|идея
PRES_60da65c55e,герой|роман
PRES_d5cc6c0374,сюжетный|хинди|роман
PRES_2048f4153d,христианский|модель|индо
PRES_ac20c3981b,содержание|часть|композиция
PRES_bdb9ecf419,постановка|механизм|передача
PRES_457408b87a,дхармакиртеть|акт|познание
PRES_117aeb7260,
PRES_168fd5d0b0,санскрит|перевод
PRES_932ae951cd,письмо|санскритский
PRES_e564be93e3,малый|великий|надпись
PRES_9ade78ff58,индия|цейлон|минаев
PRES_7052e31e46,радж|техника|сочинение
PRES_632589d9f1,смерть|абхидхармакош|существование
PRES_cb85e06342,эпистемология|непосредственный|восприятие
PRES_65a7d6e51a,нагарджун|персонаж|роман
PRES_198427c45a,тара|гимн|перевод
PRES_4bb24c3c11,поэтика|описание|индийский
PRES_649f8342d7,драма|санскритский|цикл
PRES_43e4e4e60d,состав|древний
PRES_7e16512005,бык|человек|эпос
PRES_693b5d83a6,материальный|герой|памятник
PRES_c2c6d7f2b6,каста
PRES_8e0d2df4b1,калика|девибхагават|пуран
PRES_1be5fd6c7a,северный|демонстрация|видеоматериал
PRES_2b5692727a,урд|хан|проза
PRES_a45633543d,характеристика|особенность|литература
PRES_57404d8de8,становление|вишишта|адвайта
PRES_c190e58dae,пример|источник|язык
PRES_8c102cb0c2,согласно|тантрический|школа
PRES_a3301e22aa,бенгальский|традиционный|образ
PRES_a40d40eed0,абхинавагупт
PRES_53f8bd860a,калидас|глаз
PRES_e9a0b599c0,
PRES_e04db7cf0d,махаваста|археология|раннебуддийский
PRES_1c0edf1c85,калика|бхайрава|пурана
PRES_54a32921dc,генезис|визуальный|сравнительный
PRES_a873570c30,актуальный|восприятие|учение
PRES_d49c9ef5f0,уникальность|человеческий|природа
PRES_1e77ef9490,пушкин|сказка|царь
PRES_f7c2f21e54,натьяшастр|игра|концепция
PRES_6a263265ac,реальность|текст
PRES_91f29242d8,способ|танец|два
PRES_37530fdf34,старый|тамильский|поэзия
PRES_37ec1a3fd3,вступительный|сказание|глава
PRES_5291787a3f,почётный|гость|приём
PRES_59bc8c1ec8,южный|поэзия|индия
PRES_5deb828215,буддизм
PRES_7a0616cdc7,метафора|махабхарат
PRES_d8c8a0e9b4,зал|дхарма|бог
PRES_216606ed4c,аватар|девибхагават|вишн
PRES_61eb101383,жанр|поэтический|канон
PRES_81e4f6fe0b,четвёртый|абхисамай|аланкара
PRES_5816bc342a,сиддхам|мангал|символ
PRES_df563ac2ff,тантра
PRES_9f66f4e714,культура|тамильский
PRES_5b9d992a66,полемический|религиозно|дискурс
PRES_9cc7f0b54c,согласно|тантра
PRES_fb8b7f76bc,сопоставление|другой|возрождение
PRES_5b9c7fa5b6,санскритизация|языковой|политика
PRES_eaf7163393,высказывание|тагор|рабиндранат
PRES_0b727f138c,высказывание|фигура|поэтика
PRES_b9333b3423,ярость|рушдить
PRES_4f6dd44b06,индо|британский|будда
PRES_6b5321239f,идеология|концепт
PRES_9d6bafd765,степь|создание|северный
PRES_dd87112472,стратификация|общество|ведийский
PRES_f73706499b,юный|царь|ланка
PRES_c511412335,герасим|элита|лебедев
PRES_66b3645128,христианский|первый|индия
PRES_fe38d39938,гупт|архив|каутилья
PRES_f516867c63,ассам|рождение|танец
PRES_77f698acd5,бхавабхути|последний|рама
PRES_63aa865de4,кашмирский|практика|текст
PRES_b27303708f,дхармасутра|апастамб|композиция
PRES_81b825e701,способ|шив|сутра
PRES_4557455166,версия|миф
PRES_5bd9be8d40,раз|ещё|тамильский
PRES_627da820b6,дискуссия|термин|литература
PRES_5f83d7a499,восемь|царь|ивр
PRES_e5cc1bbb1d,найти|рукопись|тибетский
PRES_0aedd41026,дхармарадж|непосредственный|парибхаш
PRES_d7d08bc77f,буддийский|текст
PRES_8bd27d8f20,раманудж|парадигма|бхагавадгит
PRES_972d4079b1,религиозно|оберхаммер|вишишта
PRES_44b7051738,сотериологический|формула|индуистский
PRES_4acd5d51b5,эволюция|два|концепция
PRES_ca1df3941d,актуальный|буддология|дхарма
PRES_a72801a7e5,ренессанс|религиозно|индуизм
PRES_ea42f7e02c,загадка|поэма
PRES_347180ce4e,мир|современный
PRES_20d92e0dfe,литература|урд|взаимодействие
PRES_1a19c546ea,измерение|третий|непальский
PRES_d7ffc90dec,книга|индия
PRES_b48f6f5ffd,фигура|ригведа|символический
PRES_485b7b3478,бык|индоиранский|картина
PRES_df7078b604,сосуд|попытка|интерпретация
PRES_9389ab2ec7,сообщение|свиток|предварительный
PRES_bafd1e3979,полевой|гуджарат|живой
PRES_20e82a1bf4,юный|состояние|сознание
PRES_96e454e276,календарный
PRES_3fe3fd07b0,измерение|политический|стиль
PRES_8f2b093d02,
PRES_7905a089ac,роман|история
PRES_85c4d90172,девибхагават|пурана
PRES_ae5459f5c7,фонд|ивр|рукопись
PRES_ca34a85370,паломник|китайский|образ
PRES_d6fac606b5,эпитет|будда|текст
PRES_f3223273ab,женский|божество|литература
PRES_823a5819a9,авалокитешвара|садхана|гаруда
PRES_ee3e0c846c,европейский|веданта|язык
PRES_e9bb5a759b,звук|варна
PRES_aa8cf0310f,наука|классификация|традиционный
PRES_d9c413501e,рациональность|схема|индийский
PRES_6a7d4db7b5,читта|некоторый|термин
PRES_04dccf8d10,адвайте|вишишта|брахман
PRES_9484337e22,майя|концепт|шанкара
PRES_3195691394,синтез|элемент|культурный
PRES_8d5c85c734,кришна|бай|мир
PRES_3666aae128,открытие|мыслитель|сквозь
PRES_57ae9add27,хинди|новый|поэзия
PRES_c247636d94,хинди|бенгальский|язык
PRES_b8b0e64461,формульность|надпись|санскрит
PRES_01c8c172a9,символический|язык
PRES_3aa6b03a07,момент|герасим|элита
PRES_ba46b7c452,зал|баул|деревня
PRES_ade026eba7,музейный|адивась|искусство
PRES_eaf0add041,календарный|обряд|образ
PRES_b2df564f10,этнический|материальный|атрибут
PRES_6ef9ae63f8,проявление|после|конфликт
PRES_7d7eb95500,социальный|карнатака|художественный
PRES_09ea1d8846,абхидхармакош
PRES_6fd8f32d77,минаев|рукопись
PRES_7393356a70,подношение|биография|версия
PRES_d53f641345,приписывать|авалокитешвара|царь
PRES_7e6c76b7c4,тригата|театр|натьяшастр
PRES_1ec138c017,аватар|вишн|поэма
PRES_fef7c3afd6,версия|пурана|рамаян
PRES_25a34c0006,сиддхам|ксилограф|письмо
PRES_db18841de6,подход|восприятие|теория
PRES_3eb2ccd62e,классификация
PRES_446d1622e0,психология|шиваизм|кашмирский
PRES_71c7cc1a09,спхота|вакьяпадий|термин
PRES_dff8128e31,философия|поэзия
PRES_38f0bf3fa1,взаимоотношение|божество|аспект
PRES_b9b432befc,пословица|поговорка|хинди
PRES_83fa564d73,размер|стихотворный|классификация
PRES_9857501571,бай|мир
PRES_28cd96d910,смысловой|конструкция|форма
PRES_adefba4b15,феномен|бенгалия|формирование
PRES_25c542e83e,религия|политика|внутренний
PRES_ba306768d9,основный|форма|гимн
PRES_b6bc9faa10,тирумулар|чидамбарам|натарадж
PRES_d1d4be71f7,реконструкция|семантика|ритуальный
PRES_aa4df50cf0,данные|фольклор|мифология
PRES_9c47837d30,непальский|надпись|концепция
PRES_222fd16a0c,хить|дхара|функция
PRES_7f7a003e02,свиток|повествовательный|неварский
